#
#       i          Prior Sigma          Post Sigma       Unc. Red. [%]
#
        1         0.100000E+00        0.431560E-01            56.84400
        2         0.100000E+00        0.436258E-01            56.37415
        3         0.500000E+01        0.232188E+01            53.56233
        4         0.200000E+01        0.187030E+01             6.48512
        5         0.200000E+00        0.178871E+00            10.56463
        6         0.500000E+01        0.231573E+01            53.68546
        7         0.200000E+01        0.187010E+01             6.49489
        8         0.200000E+00        0.183370E+00             8.31506
        9         0.500000E+01        0.226715E+01            54.65693
       10         0.200000E+01        0.186858E+01             6.57110
       11         0.200000E+00        0.193502E+00             3.24925
       12         0.500000E+01        0.228735E+01            54.25305
       13         0.200000E+01        0.186921E+01             6.53961
       14         0.200000E+00        0.191943E+00             4.02857
       15         0.500000E+01        0.231821E+01            53.63575
       16         0.200000E+01        0.187018E+01             6.49095
       17         0.200000E+00        0.181779E+00             9.11041
       18         0.500000E+01        0.500000E+01            -0.00000
       19         0.200000E+01        0.200000E+01             0.00000
       20         0.200000E+00        0.200000E+00             0.00000
       21         0.500000E+01        0.227348E+01            54.53037
       22         0.200000E+01        0.186877E+01             6.56126
       23         0.200000E+00        0.193233E+00             3.38369
       24         0.500000E+01        0.500000E+01            -0.00000
       25         0.200000E+01        0.200000E+01            -0.00000
       26         0.200000E+00        0.200000E+00             0.00000
       27         0.500000E+01        0.500000E+01             0.00000
       28         0.200000E+01        0.200000E+01             0.00000
       29         0.200000E+00        0.200000E+00             0.00000
       30         0.500000E+01        0.228753E+01            54.24944
       31         0.200000E+01        0.186921E+01             6.53932
       32         0.200000E+00        0.191918E+00             4.04085
       33         0.500000E+01        0.500000E+01            -0.00000
       34         0.200000E+01        0.200000E+01             0.00000
       35         0.200000E+00        0.200000E+00            -0.00000
       36         0.500000E+01        0.232164E+01            53.56718
       37         0.200000E+01        0.187029E+01             6.48550
       38         0.200000E+00        0.179088E+00            10.45589
       39         0.500000E+01        0.500000E+01             0.00000
       40         0.200000E+01        0.200000E+01            -0.00000
       41         0.200000E+00        0.200000E+00             0.00000
       42         0.500000E+01        0.500000E+01             0.00000
       43         0.200000E+01        0.200000E+01             0.00000
       44         0.200000E+00        0.200000E+00             0.00000
       45         0.500000E+01        0.231789E+01            53.64225
       46         0.200000E+01        0.187017E+01             6.49146
       47         0.200000E+00        0.182002E+00             8.99895
       48         0.500000E+01        0.500000E+01             0.00000
       49         0.200000E+01        0.200000E+01            -0.00000
       50         0.200000E+00        0.200000E+00             0.00000
       51         0.500000E+01        0.226568E+01            54.68634
       52         0.200000E+01        0.186853E+01             6.57338
       53         0.200000E+00        0.193541E+00             3.22969
       54         0.500000E+01        0.505233E-01            98.98953
       55         0.200000E+01        0.125347E+01            37.32656
       56         0.200000E+00        0.122820E+00            38.58987
       57         0.500000E+01        0.500000E+01             0.00000
       58         0.200000E+01        0.200000E+01            -0.00000
       59         0.200000E+00        0.200000E+00            -0.00000
       60         0.500000E+01        0.500000E+01             0.00000
       61         0.200000E+01        0.200000E+01             0.00000
       62         0.200000E+00        0.200000E+00            -0.00000
       63         0.500000E+01        0.228817E+01            54.23662
       64         0.200000E+01        0.186923E+01             6.53832
       65         0.200000E+00        0.191829E+00             4.08546
       66         0.500000E+01        0.500000E+01             0.00000
       67         0.200000E+01        0.200000E+01            -0.00000
       68         0.200000E+00        0.200000E+00             0.00000
       69         0.500000E+01        0.500000E+01            -0.00000
       70         0.200000E+01        0.200000E+01             0.00000
       71         0.200000E+00        0.200000E+00            -0.00000
       72         0.500000E+01        0.231660E+01            53.66804
       73         0.200000E+01        0.187013E+01             6.49351
       74         0.200000E+00        0.182841E+00             8.57939
       75         0.500000E+01        0.227198E+01            54.56032
       76         0.200000E+01        0.186873E+01             6.56359
       77         0.200000E+00        0.193312E+00             3.34410
       78         0.500000E+01        0.228693E+01            54.26136
       79         0.200000E+01        0.186919E+01             6.54026
       80         0.200000E+00        0.191999E+00             4.00068
       81         0.500000E+01        0.510283E-01            98.97943
       82         0.200000E+01        0.120781E+01            39.60960
       83         0.200000E+00        0.124848E+00            37.57577
       84         0.500000E+01        0.231755E+01            53.64908
       85         0.200000E+01        0.187016E+01             6.49200
       86         0.200000E+00        0.182231E+00             8.88425
       87         0.500000E+01        0.227103E+01            54.57940
       88         0.200000E+01        0.186870E+01             6.56508
       89         0.200000E+00        0.193357E+00             3.32147
       90         0.500000E+01        0.228856E+01            54.22877
       91         0.200000E+01        0.186925E+01             6.53770
       92         0.200000E+00        0.191773E+00             4.11353
       93         0.500000E+01        0.231638E+01            53.67238
       94         0.200000E+01        0.187012E+01             6.49385
       95         0.200000E+00        0.182976E+00             8.51215
       96         0.500000E+01        0.494548E-01            99.01090
       97         0.200000E+01        0.138442E+01            30.77881
       98         0.200000E+00        0.115292E+00            42.35406
       99         0.500000E+01        0.228027E+01            54.39457
      100         0.200000E+01        0.186899E+01             6.55067
      101         0.200000E+00        0.192737E+00             3.63134
      102         0.500000E+01        0.228718E+01            54.25639
      103         0.200000E+01        0.186920E+01             6.53987
      104         0.200000E+00        0.191965E+00             4.01728
      105         0.500000E+01        0.231605E+01            53.67907
      106         0.200000E+01        0.187011E+01             6.49438
      107         0.200000E+00        0.183179E+00             8.41029
      108         0.500000E+01        0.227045E+01            54.59099
      109         0.200000E+01        0.186868E+01             6.56598
      110         0.200000E+00        0.193383E+00             3.30870
      111         0.500000E+01        0.228803E+01            54.23949
      112         0.200000E+01        0.186923E+01             6.53854
      113         0.200000E+00        0.191849E+00             4.07535
      114         0.500000E+01        0.495887E-01            99.00823
      115         0.200000E+01        0.137612E+01            31.19383
      116         0.200000E+00        0.115654E+00            42.17322
      117         0.500000E+01        0.231580E+01            53.68396
      118         0.200000E+01        0.187010E+01             6.49477
      119         0.200000E+00        0.183326E+00             8.33722
      120         0.500000E+01        0.226939E+01            54.61222
      121         0.200000E+01        0.186865E+01             6.56763
      122         0.200000E+00        0.193426E+00             3.28713
      123         0.500000E+01        0.228772E+01            54.24561
      124         0.200000E+01        0.186922E+01             6.53902
      125         0.200000E+00        0.191892E+00             4.05401
      126         0.500000E+01        0.231847E+01            53.63066
      127         0.200000E+01        0.187019E+01             6.49054
      128         0.200000E+00        0.181601E+00             9.19940
      129         0.500000E+01        0.226321E+01            54.73575
      130         0.200000E+01        0.186846E+01             6.57722
      131         0.200000E+00        0.193588E+00             3.20596
      132         0.500000E+01        0.228835E+01            54.23297
      133         0.200000E+01        0.186924E+01             6.53803
      134         0.200000E+00        0.191803E+00             4.09845
      135         0.500000E+01        0.514809E-01            98.97038
      136         0.200000E+01        0.116609E+01            41.69544
      137         0.200000E+00        0.126663E+00            36.66827
      138         0.500000E+01        0.231689E+01            53.66211
      139         0.200000E+01        0.187014E+01             6.49304
      140         0.200000E+00        0.182655E+00             8.67268
      141         0.500000E+01        0.226632E+01            54.67362
      142         0.200000E+01        0.186855E+01             6.57240
      143         0.200000E+00        0.193525E+00             3.23764
      144         0.500000E+01        0.228691E+01            54.26177
      145         0.200000E+01        0.186919E+01             6.54029
      146         0.200000E+00        0.192001E+00             3.99932
      147         0.500000E+01        0.231559E+01            53.68827
      148         0.200000E+01        0.187010E+01             6.49511
      149         0.200000E+00        0.183452E+00             8.27378
      150         0.500000E+01        0.226428E+01            54.71433
      151         0.200000E+01        0.186849E+01             6.57556
      152         0.200000E+00        0.193570E+00             3.21487
      153         0.500000E+01        0.228692E+01            54.26154
      154         0.200000E+01        0.186919E+01             6.54027
      155         0.200000E+00        0.192000E+00             4.00009
      156         0.500000E+01        0.512590E-01            98.97482
      157         0.200000E+01        0.118554E+01            40.72281
      158         0.200000E+00        0.125845E+00            37.07739
      159         0.500000E+01        0.492688E-01            99.01462
      160         0.200000E+01        0.139998E+01            30.00112
      161         0.200000E+00        0.114482E+00            42.75910
      162         0.500000E+01        0.231556E+01            53.68888
      163         0.200000E+01        0.187010E+01             6.49516
      164         0.200000E+00        0.183470E+00             8.26478
      165         0.500000E+01        0.227493E+01            54.50148
      166         0.200000E+01        0.186882E+01             6.55901
