date                       prior            s1s2   S2A-no-visnir    S2A-no-swnir
2017-05-01T16:58          2.0000          1.1185          1.1186          1.1185
2017-05-04T05:26          2.0000          0.9838          0.9839          0.9838
2017-05-05T05:17          2.0000          0.9239          0.9239          0.9239
2017-05-06T17:06          2.0000          0.9053          0.9054          0.9053
2017-05-10T05:26          2.0000          0.8930          0.8930          0.8930
2017-05-10T12:00          2.0000          0.9354          0.9354          0.9354
2017-05-11T05:17          2.0000          0.8731          0.8732          0.8731
2017-05-11T12:00          2.0000          0.9421          0.9422          0.9421
2017-05-12T12:00          2.0000          0.9420          0.9421          0.9420
2017-05-12T17:06          2.0000          0.8726          0.8727          0.8726
2017-05-13T12:00          2.0000          0.9297          0.9299          0.9297
2017-05-13T16:58          2.0000          0.8767          0.8772          0.8767
2017-05-14T12:00          2.0000          0.9401          0.9409          0.9401
2017-05-15T12:00          2.0000          0.9353          0.9373          0.9353
2017-05-16T05:26          2.0000          0.8557          0.8613          0.8557
2017-05-16T12:00          2.0000          0.8871          0.9019          0.8872
2017-05-17T05:17          2.0000          0.7539          0.8002          0.7542
2017-05-17T10:20          2.0000          0.7444          0.8782          0.7449
2017-05-17T12:00          2.0000          0.8920          0.9354          0.8922
2017-05-18T12:00          2.0000          0.9152          0.9305          0.9152
2017-05-18T17:06          2.0000          0.8509          0.8567          0.8509
2017-05-19T12:00          2.0000          0.9319          0.9346          0.9319
2017-05-20T12:00          2.0000          0.9343          0.9370          0.9343
2017-05-22T05:26          2.0000          0.8616          0.8672          0.8616
2017-05-23T05:17          2.0000          0.8286          0.8418          0.8287
2017-05-24T17:06          2.0000          0.7850          0.8244          0.7851
2017-05-27T10:20          2.0000          0.7191          0.8508          0.7196
2017-05-28T05:26          2.0000          0.7607          0.8076          0.7609
2017-05-29T05:17          2.0000          0.8124          0.8307          0.8125
2017-05-30T17:06          2.0000          0.8224          0.8391          0.8225
2017-06-03T05:26          2.0000          0.7735          0.8171          0.7738
2017-06-03T10:10          2.0000          0.7468          0.8603          0.7473
2017-06-04T05:17          2.0000          0.7678          0.8108          0.7681
2017-06-05T17:06          2.0000          0.8312          0.8450          0.8312
2017-06-09T05:26          2.0000          0.8462          0.8541          0.8463
2017-06-10T05:17          2.0000          0.8281          0.8389          0.8281
2017-06-11T17:06          2.0000          0.8001          0.8286          0.8002
2017-06-13T10:10          2.0000          0.7902          0.8754          0.7906
2017-06-15T05:26          2.0000          0.8015          0.8297          0.8016
2017-06-16T05:17          2.0000          0.8327          0.8435          0.8327
2017-06-17T17:06          2.0000          0.8550          0.8608          0.8550
2017-06-21T05:26          2.0000          0.8543          0.8611          0.8543
2017-06-22T05:17          2.0000          0.8246          0.8388          0.8247
2017-06-23T17:06          2.0000          0.7817          0.8230          0.7818
2017-06-26T10:20          2.0000          0.7064          0.8464          0.7069
2017-06-27T05:26          2.0000          0.7598          0.8082          0.7600
2017-06-28T05:17          2.0000          0.8218          0.8383          0.8218
2017-06-29T17:06          2.0000          0.8519          0.8593          0.8519
2017-07-03T05:26          2.0000          0.8520          0.8590          0.8520
2017-07-04T05:17          2.0000          0.8211          0.8348          0.8212
2017-07-05T17:06          2.0000          0.7563          0.7997          0.7565
2017-07-06T10:20          2.0000          0.7116          0.8332          0.7121
2017-07-08T10:10          2.0000          0.7579          0.7825          0.7581
2017-07-09T05:26          2.0000          0.7719          0.7771          0.7719
2017-07-10T05:17          2.0000          0.8269          0.8289          0.8269
2017-07-11T17:06          2.0000          0.8539          0.8548          0.8539
2017-07-15T05:26          2.0000          0.8545          0.8550          0.8545
2017-07-16T05:17          2.0000          0.8266          0.8270          0.8266
2017-07-17T17:06          2.0000          0.7717          0.7721          0.7717
2017-07-18T10:10          2.0000          0.7615          0.7617          0.7615
2017-07-21T05:26          2.0000          0.7249          0.7253          0.7250
2017-07-21T10:20          2.0000          0.6985          0.6987          0.6986
2017-07-22T05:17          2.0000          0.7603          0.7606          0.7604
2017-07-23T17:06          2.0000          0.8485          0.8487          0.8486
2017-07-27T05:26          2.0000          0.9004          0.9005          0.9004
2017-07-28T05:17          2.0000          0.9608          0.9609          0.9608
2017-07-29T17:06          2.0000          1.1018          1.1019          1.1018
