date                              prior                   s1s2   S2B-no-S2A-no-visnir    S2B-no-S2A-no-swnir
2017-05-01T16:58                 2.0000                 1.1185                 1.1187                 1.1187
2017-05-04T05:26                 2.0000                 0.9838                 0.9841                 0.9840
2017-05-05T05:17                 2.0000                 0.9239                 0.9241                 0.9241
2017-05-06T17:06                 2.0000                 0.9053                 0.9056                 0.9056
2017-05-10T05:26                 2.0000                 0.8930                 0.8932                 0.8932
2017-05-10T12:00                 2.0000                 0.9354                 0.9356                 0.9356
2017-05-11T05:17                 2.0000                 0.8731                 0.8734                 0.8734
2017-05-11T12:00                 2.0000                 0.9421                 0.9423                 0.9423
2017-05-12T12:00                 2.0000                 0.9420                 0.9422                 0.9422
2017-05-12T17:06                 2.0000                 0.8726                 0.8730                 0.8729
2017-05-13T12:00                 2.0000                 0.9297                 0.9301                 0.9299
2017-05-13T16:58                 2.0000                 0.8767                 0.8776                 0.8771
2017-05-14T12:00                 2.0000                 0.9401                 0.9412                 0.9404
2017-05-15T12:00                 2.0000                 0.9353                 0.9377                 0.9357
2017-05-16T05:26                 2.0000                 0.8557                 0.8621                 0.8565
2017-05-16T12:00                 2.0000                 0.8871                 0.9027                 0.8880
2017-05-17T05:17                 2.0000                 0.7539                 0.8017                 0.7556
2017-05-17T10:20                 2.0000                 0.7444                 0.8788                 0.7455
2017-05-17T12:00                 2.0000                 0.8920                 0.9358                 0.8925
2017-05-18T12:00                 2.0000                 0.9152                 0.9310                 0.9157
2017-05-18T17:06                 2.0000                 0.8509                 0.8578                 0.8519
2017-05-19T12:00                 2.0000                 0.9319                 0.9353                 0.9325
2017-05-20T12:00                 2.0000                 0.9343                 0.9376                 0.9350
2017-05-22T05:26                 2.0000                 0.8616                 0.8683                 0.8627
2017-05-23T05:17                 2.0000                 0.8286                 0.8434                 0.8301
2017-05-24T17:06                 2.0000                 0.7850                 0.8262                 0.7868
2017-05-27T10:20                 2.0000                 0.7191                 0.8522                 0.7208
2017-05-28T05:26                 2.0000                 0.7607                 0.8099                 0.7630
2017-05-29T05:17                 2.0000                 0.8124                 0.8329                 0.8146
2017-05-30T17:06                 2.0000                 0.8224                 0.8413                 0.8246
2017-06-03T05:26                 2.0000                 0.7735                 0.8195                 0.7761
2017-06-03T10:10                 2.0000                 0.7468                 0.8619                 0.7489
2017-06-04T05:17                 2.0000                 0.7678                 0.8132                 0.7704
2017-06-05T17:06                 2.0000                 0.8312                 0.8471                 0.8332
2017-06-09T05:26                 2.0000                 0.8462                 0.8560                 0.8481
2017-06-10T05:17                 2.0000                 0.8281                 0.8410                 0.8301
2017-06-11T17:06                 2.0000                 0.8001                 0.8307                 0.8021
2017-06-13T10:10                 2.0000                 0.7902                 0.8768                 0.7918
2017-06-15T05:26                 2.0000                 0.8015                 0.8317                 0.8034
2017-06-16T05:17                 2.0000                 0.8327                 0.8453                 0.8343
2017-06-17T17:06                 2.0000                 0.8550                 0.8624                 0.8565
2017-06-21T05:26                 2.0000                 0.8543                 0.8626                 0.8557
2017-06-22T05:17                 2.0000                 0.8246                 0.8406                 0.8263
2017-06-23T17:06                 2.0000                 0.7817                 0.8249                 0.7836
2017-06-26T10:20                 2.0000                 0.7064                 0.8477                 0.7080
2017-06-27T05:26                 2.0000                 0.7598                 0.8101                 0.7618
2017-06-28T05:17                 2.0000                 0.8218                 0.8400                 0.8234
2017-06-29T17:06                 2.0000                 0.8519                 0.8611                 0.8534
2017-07-03T05:26                 2.0000                 0.8520                 0.8613                 0.8537
2017-07-04T05:17                 2.0000                 0.8211                 0.8389                 0.8235
2017-07-05T17:06                 2.0000                 0.7563                 0.8098                 0.7607
2017-07-06T10:20                 2.0000                 0.7116                 0.8687                 0.7293
2017-07-08T10:10                 2.0000                 0.7579                 0.9095                 0.8657
2017-07-09T05:26                 2.0000                 0.7719                 0.8484                 0.8338
2017-07-10T05:17                 2.0000                 0.8269                 0.8598                 0.8541
2017-07-11T17:06                 2.0000                 0.8539                 0.8746                 0.8722
2017-07-15T05:26                 2.0000                 0.8545                 0.8789                 0.8779
2017-07-16T05:17                 2.0000                 0.8266                 0.8741                 0.8735
2017-07-17T17:06                 2.0000                 0.7717                 0.8774                 0.8771
2017-07-18T10:10                 2.0000                 0.7615                 0.9322                 0.9321
2017-07-21T05:26                 2.0000                 0.7249                 0.8850                 0.8849
2017-07-21T10:20                 2.0000                 0.6985                 0.9364                 0.9364
2017-07-22T05:17                 2.0000                 0.7603                 0.8862                 0.8861
2017-07-23T17:06                 2.0000                 0.8485                 0.9053                 0.9052
2017-07-27T05:26                 2.0000                 0.9004                 0.9301                 0.9301
2017-07-28T05:17                 2.0000                 0.9608                 0.9786                 0.9785
2017-07-29T17:06                 2.0000                 1.1018                 1.1138                 1.1138
