date                prior     s1s2   no-S1A   no-S1B   no-S2A   no-S2B
2017-05-01T16:58   2.0000   1.1185   1.1931   1.1221   1.1192   1.1187
2017-05-04T05:26   2.0000   0.9838   0.9870   1.0284   0.9845   0.9840
2017-05-05T05:17   2.0000   0.9239   0.9871   0.9274   0.9247   0.9241
2017-05-06T17:06   2.0000   0.9053   0.9841   0.9091   0.9061   0.9056
2017-05-10T05:26   2.0000   0.8930   0.9749   0.8953   0.8937   0.8932
2017-05-10T12:00   2.0000   0.9354   0.9494   0.9530   0.9360   0.9356
2017-05-11T05:17   2.0000   0.8731   0.8767   0.9732   0.8739   0.8734
2017-05-11T12:00   2.0000   0.9421   0.9440   0.9795   0.9426   0.9423
2017-05-12T12:00   2.0000   0.9420   0.9437   0.9790   0.9426   0.9422
2017-05-12T17:06   2.0000   0.8726   0.8752   0.9712   0.8737   0.8729
2017-05-13T12:00   2.0000   0.9297   0.9460   0.9473   0.9311   0.9299
2017-05-13T16:58   2.0000   0.8767   0.9676   0.8787   0.8797   0.8771
2017-05-14T12:00   2.0000   0.9401   0.9663   0.9454   0.9442   0.9404
2017-05-15T12:00   2.0000   0.9353   0.9408   0.9633   0.9441   0.9357
2017-05-16T05:26   2.0000   0.8557   0.8591   0.9542   0.8790   0.8565
2017-05-16T12:00   2.0000   0.8871   0.9213   0.9071   0.9305   0.8879
2017-05-17T05:17   2.0000   0.7539   0.9072   0.7564   0.8706   0.7554
2017-05-17T10:20   2.0000   0.7444   0.7958   0.7455   0.9445   0.7450
2017-05-17T12:00   2.0000   0.8920   0.9190   0.8927   0.9621   0.8924
2017-05-18T12:00   2.0000   0.9152   0.9602   0.9159   0.9455   0.9156
2017-05-18T17:06   2.0000   0.8509   0.9736   0.8523   0.8740   0.8519
2017-05-19T12:00   2.0000   0.9319   0.9747   0.9325   0.9428   0.9325
2017-05-20T12:00   2.0000   0.9343   0.9645   0.9353   0.9452   0.9350
2017-05-22T05:26   2.0000   0.8616   0.9314   0.8646   0.8844   0.8627
2017-05-23T05:17   2.0000   0.8286   0.8340   0.9224   0.8766   0.8301
2017-05-24T17:06   2.0000   0.7850   0.7912   0.9035   0.8845   0.7867
2017-05-27T10:20   2.0000   0.7191   0.7230   0.7793   0.9325   0.7203
2017-05-28T05:26   2.0000   0.7607   0.7669   0.8719   0.8790   0.7628
2017-05-29T05:17   2.0000   0.8124   0.9048   0.8169   0.8757   0.8145
2017-05-30T17:06   2.0000   0.8224   0.9370   0.8250   0.8828   0.8246
2017-06-03T05:26   2.0000   0.7735   0.9106   0.7801   0.8820   0.7758
2017-06-03T10:10   2.0000   0.7468   0.7877   0.7884   0.9325   0.7484
2017-06-04T05:17   2.0000   0.7678   0.7774   0.9126   0.8767   0.7701
2017-06-05T17:06   2.0000   0.8312   0.8364   0.9435   0.8827   0.8331
2017-06-09T05:26   2.0000   0.8462   0.8517   0.9247   0.8827   0.8480
2017-06-10T05:17   2.0000   0.8281   0.9248   0.8306   0.8761   0.8300
2017-06-11T17:06   2.0000   0.8001   0.9237   0.8024   0.8840   0.8021
2017-06-13T10:10   2.0000   0.7902   0.8467   0.7917   0.9329   0.7914
2017-06-15T05:26   2.0000   0.8015   0.8982   0.8048   0.8836   0.8033
2017-06-16T05:17   2.0000   0.8327   0.8390   0.9197   0.8759   0.8343
2017-06-17T17:06   2.0000   0.8550   0.8584   0.9474   0.8828   0.8564
2017-06-21T05:26   2.0000   0.8543   0.8587   0.9262   0.8832   0.8557
2017-06-22T05:17   2.0000   0.8246   0.9193   0.8273   0.8753   0.8263
2017-06-23T17:06   2.0000   0.7817   0.8988   0.7844   0.8841   0.7835
2017-06-26T10:20   2.0000   0.7064   0.7654   0.7081   0.9322   0.7075
2017-06-27T05:26   2.0000   0.7598   0.8714   0.7626   0.8782   0.7616
2017-06-28T05:17   2.0000   0.8218   0.8282   0.9065   0.8737   0.8234
2017-06-29T17:06   2.0000   0.8519   0.8552   0.9427   0.8793   0.8534
2017-07-03T05:26   2.0000   0.8520   0.8565   0.9238   0.8746   0.8536
2017-07-04T05:17   2.0000   0.8211   0.9180   0.8236   0.8565   0.8234
2017-07-05T17:06   2.0000   0.7563   0.8977   0.7591   0.8407   0.7605
2017-07-06T10:20   2.0000   0.7116   0.7637   0.7129   0.8856   0.7288
2017-07-08T10:10   2.0000   0.7579   0.8036   0.7591   0.7948   0.8656
2017-07-09T05:26   2.0000   0.7719   0.8831   0.7746   0.7853   0.8337
2017-07-10T05:17   2.0000   0.8269   0.8329   0.9105   0.8353   0.8541
2017-07-11T17:06   2.0000   0.8539   0.8570   0.9447   0.8606   0.8722
2017-07-15T05:26   2.0000   0.8545   0.8594   0.9261   0.8608   0.8779
2017-07-16T05:17   2.0000   0.8266   0.9264   0.8292   0.8340   0.8735
2017-07-17T17:06   2.0000   0.7717   0.9226   0.7747   0.7803   0.8771
2017-07-18T10:10   2.0000   0.7615   0.8426   0.7638   0.7676   0.9321
2017-07-21T05:26   2.0000   0.7249   0.8704   0.7306   0.7345   0.8849
2017-07-21T10:20   2.0000   0.6985   0.7392   0.7358   0.7044   0.9364
2017-07-22T05:17   2.0000   0.7603   0.7696   0.9006   0.7680   0.8861
2017-07-23T17:06   2.0000   0.8485   0.8542   0.9531   0.8541   0.9052
2017-07-27T05:26   2.0000   0.9004   0.9032   0.9678   0.9044   0.9301
2017-07-28T05:17   2.0000   0.9608   1.0381   0.9621   0.9640   0.9785
2017-07-29T17:06   2.0000   1.1018   1.2205   1.1037   1.1043   1.1138
