date                 prior      s1s2   only-s1   only-s2     noobs
2017-05-01T16:58    2.0000    1.1185    1.1199    1.2496    1.2496
2017-05-04T05:26    2.0000    0.9838    0.9854    1.0908    1.0908
2017-05-05T05:17    2.0000    0.9239    0.9256    1.0256    1.0256
2017-05-06T17:06    2.0000    0.9053    0.9070    1.0002    1.0002
2017-05-10T05:26    2.0000    0.8930    0.8946    0.9907    0.9907
2017-05-10T12:00    2.0000    0.9354    0.9367    0.9871    0.9871
2017-05-11T05:17    2.0000    0.8731    0.8748    0.9857    0.9857
2017-05-11T12:00    2.0000    0.9421    0.9432    0.9852    0.9853
2017-05-12T12:00    2.0000    0.9420    0.9431    0.9850    0.9851
2017-05-12T17:06    2.0000    0.8726    0.8747    0.9849    0.9850
2017-05-13T12:00    2.0000    0.9297    0.9318    0.9848    0.9850
2017-05-13T16:58    2.0000    0.8767    0.8806    0.9845    0.9850
2017-05-14T12:00    2.0000    0.9401    0.9447    0.9838    0.9850
2017-05-15T12:00    2.0000    0.9353    0.9446    0.9817    0.9850
2017-05-16T05:26    2.0000    0.8557    0.8800    0.9763    0.9850
2017-05-16T12:00    2.0000    0.8871    0.9312    0.9614    0.9850
2017-05-17T05:17    2.0000    0.7539    0.8716    0.9203    0.9850
2017-05-17T10:20    2.0000    0.7444    0.9450    0.7991    0.9850
2017-05-17T12:00    2.0000    0.8920    0.9624    0.9202    0.9850
2017-05-18T12:00    2.0000    0.9152    0.9460    0.9613    0.9850
2017-05-18T17:06    2.0000    0.8509    0.8750    0.9758    0.9850
2017-05-19T12:00    2.0000    0.9319    0.9434    0.9805    0.9850
2017-05-20T12:00    2.0000    0.9343    0.9457    0.9805    0.9850
2017-05-22T05:26    2.0000    0.8616    0.8853    0.9756    0.9850
2017-05-23T05:17    2.0000    0.8286    0.8775    0.9607    0.9850
2017-05-24T17:06    2.0000    0.7850    0.8854    0.9187    0.9850
2017-05-27T10:20    2.0000    0.7191    0.9332    0.7943    0.9850
2017-05-28T05:26    2.0000    0.7607    0.8799    0.9169    0.9850
2017-05-29T05:17    2.0000    0.8124    0.8767    0.9547    0.9850
2017-05-30T17:06    2.0000    0.8224    0.8837    0.9584    0.9850
2017-06-03T05:26    2.0000    0.7735    0.8829    0.9323    0.9850
2017-06-03T10:10    2.0000    0.7468    0.9332    0.8434    0.9850
2017-06-04T05:17    2.0000    0.7678    0.8776    0.9342    0.9850
2017-06-05T17:06    2.0000    0.8312    0.8835    0.9646    0.9850
2017-06-09T05:26    2.0000    0.8462    0.8835    0.9724    0.9850
2017-06-10T05:17    2.0000    0.8281    0.8769    0.9665    0.9850
2017-06-11T17:06    2.0000    0.8001    0.8848    0.9403    0.9850
2017-06-13T10:10    2.0000    0.7902    0.9335    0.8616    0.9850
2017-06-15T05:26    2.0000    0.8015    0.8844    0.9406    0.9850
2017-06-16T05:17    2.0000    0.8327    0.8766    0.9676    0.9850
2017-06-17T17:06    2.0000    0.8550    0.8836    0.9756    0.9850
2017-06-21T05:26    2.0000    0.8543    0.8839    0.9733    0.9850
2017-06-22T05:17    2.0000    0.8246    0.8759    0.9584    0.9850
2017-06-23T17:06    2.0000    0.7817    0.8847    0.9137    0.9850
2017-06-26T10:20    2.0000    0.7064    0.9328    0.7791    0.9850
2017-06-27T05:26    2.0000    0.7598    0.8793    0.9135    0.9850
2017-06-28T05:17    2.0000    0.8218    0.8759    0.9579    0.9850
2017-06-29T17:06    2.0000    0.8519    0.8837    0.9719    0.9850
2017-07-03T05:26    2.0000    0.8520    0.8837    0.9716    0.9850
2017-07-04T05:17    2.0000    0.8211    0.8762    0.9568    0.9850
2017-07-05T17:06    2.0000    0.7563    0.8784    0.9103    0.9850
2017-07-06T10:20    2.0000    0.7116    0.9441    0.7688    0.9850
2017-07-08T10:10    2.0000    0.7579    0.9442    0.8164    0.9850
2017-07-09T05:26    2.0000    0.7719    0.8789    0.9257    0.9850
2017-07-10T05:17    2.0000    0.8269    0.8770    0.9626    0.9850
2017-07-11T17:06    2.0000    0.8539    0.8840    0.9747    0.9850
2017-07-15T05:26    2.0000    0.8545    0.8841    0.9756    0.9850
2017-07-16T05:17    2.0000    0.8266    0.8770    0.9664    0.9850
2017-07-17T17:06    2.0000    0.7717    0.8793    0.9367    0.9851
2017-07-18T10:10    2.0000    0.7615    0.9333    0.8498    0.9853
2017-07-21T05:26    2.0000    0.7249    0.8862    0.8855    0.9857
2017-07-21T10:20    2.0000    0.6985    0.9374    0.7892    0.9871
2017-07-22T05:17    2.0000    0.7603    0.8875    0.9214    0.9907
2017-07-23T17:06    2.0000    0.8485    0.9066    0.9743    1.0002
2017-07-27T05:26    2.0000    0.9004    0.9314    1.0153    1.0256
2017-07-28T05:17    2.0000    0.9608    0.9798    1.0862    1.0908
2017-07-29T17:06    2.0000    1.1018    1.1150    1.2471    1.2496
