date                        s1s2   S2A-no-visnir    S2A-no-swnir
2017-05-01T16:58         44.0732         44.0721         44.0732
2017-05-04T05:26         50.8086         50.8073         50.8086
2017-05-05T05:17         53.8053         53.8038         53.8052
2017-05-06T17:06         54.7328         54.7313         54.7328
2017-05-10T05:26         55.3512         55.3496         55.3511
2017-05-10T12:00         53.2292         53.2278         53.2292
2017-05-11T05:17         56.3436         56.3415         56.3436
2017-05-11T12:00         52.8938         52.8920         52.8938
2017-05-12T12:00         52.9002         52.8974         52.9002
2017-05-12T17:06         56.3718         56.3652         56.3718
2017-05-13T12:00         53.5155         53.5056         53.5155
2017-05-13T16:58         56.1643         56.1414         56.1642
2017-05-14T12:00         52.9946         52.9527         52.9944
2017-05-15T12:00         53.2332         53.1330         53.2330
2017-05-16T05:26         57.2139         56.9326         57.2132
2017-05-16T12:00         55.6432         54.9033         55.6402
2017-05-17T05:17         62.3037         59.9902         62.2921
2017-05-17T10:20         62.7782         56.0898         62.7531
2017-05-17T12:00         55.3986         53.2298         55.3913
2017-05-18T12:00         54.2422         53.4755         54.2400
2017-05-18T17:06         57.4567         57.1633         57.4560
2017-05-19T12:00         53.4048         53.2693         53.4045
2017-05-20T12:00         53.2833         53.1511         53.2831
2017-05-22T05:26         56.9190         56.6419         56.9184
2017-05-23T05:17         58.5684         57.9086         58.5671
2017-05-24T17:06         60.7513         58.7821         60.7464
2017-05-27T10:20         64.0435         57.4603         64.0204
2017-05-28T05:26         61.9672         59.6195         61.9574
2017-05-29T05:17         59.3785         58.4661         59.3760
2017-05-30T17:06         58.8778         58.0471         58.8749
2017-06-03T05:26         61.3229         59.1459         61.3083
2017-06-03T10:10         62.6619         56.9858         62.6352
2017-06-04T05:17         61.6097         59.4576         61.5949
2017-06-05T17:06         58.4421         57.7504         58.4393
2017-06-09T05:26         57.6880         57.2974         57.6869
2017-06-10T05:17         58.5950         58.0534         58.5936
2017-06-11T17:06         59.9946         58.5686         59.9909
2017-06-13T10:10         60.4920         56.2290         60.4716
2017-06-15T05:26         59.9240         58.5151         59.9203
2017-06-16T05:17         58.3662         57.8238         58.3648
2017-06-17T17:06         57.2525         56.9588         57.2517
2017-06-21T05:26         57.2866         56.9464         57.2858
2017-06-22T05:17         58.7679         58.0618         58.7663
2017-06-23T17:06         60.9140         58.8495         60.9085
2017-06-26T10:20         64.6796         57.6795         64.6537
2017-06-27T05:26         62.0093         59.5908         61.9994
2017-06-28T05:17         58.9111         58.0868         58.9089
2017-06-29T17:06         57.4036         57.0339         57.4028
2017-07-03T05:26         57.3989         57.0502         57.3981
2017-07-04T05:17         58.9434         58.2618         58.9418
2017-07-05T17:06         62.1857         60.0131         62.1763
2017-07-06T10:20         64.4183         58.3385         64.3934
2017-07-08T10:10         62.1025         60.8753         62.0972
2017-07-09T05:26         61.4066         61.1432         61.4051
2017-07-10T05:17         58.6551         58.5552         58.6543
2017-07-11T17:06         57.3037         57.2591         57.3032
2017-07-15T05:26         57.2756         57.2505         57.2751
2017-07-16T05:17         58.6686         58.6496         58.6682
2017-07-17T17:06         61.4143         61.3971         61.4138
2017-07-18T10:10         61.9246         61.9138         61.9243
2017-07-21T05:26         63.7526         63.7368         63.7521
2017-07-21T10:20         65.0725         65.0630         65.0722
2017-07-22T05:17         61.9826         61.9704         61.9822
2017-07-23T17:06         57.5726         57.5638         57.5723
2017-07-27T05:26         54.9794         54.9729         54.9792
2017-07-28T05:17         51.9597         51.9547         51.9596
2017-07-29T17:06         44.9088         44.9049         44.9087
