date                               s1s2   S2B-no-S2A-no-visnir    S2B-no-S2A-no-swnir
2017-05-01T16:58                44.0732                44.0633                44.0647
2017-05-04T05:26                50.8086                50.7973                50.7989
2017-05-05T05:17                53.8053                53.7927                53.7945
2017-05-06T17:06                54.7328                54.7199                54.7217
2017-05-10T05:26                55.3512                55.3382                55.3402
2017-05-10T12:00                53.2292                53.2189                53.2206
2017-05-11T05:17                56.3436                56.3289                56.3315
2017-05-11T12:00                52.8938                52.8840                52.8861
2017-05-12T12:00                52.9002                52.8887                52.8919
2017-05-12T17:06                56.3718                56.3497                56.3569
2017-05-13T12:00                53.5155                53.4927                53.5032
2017-05-13T16:58                56.1643                56.1222                56.1458
2017-05-14T12:00                52.9946                52.9382                52.9806
2017-05-15T12:00                53.2332                53.1141                53.2151
2017-05-16T05:26                57.2139                56.8940                57.1765
2017-05-16T12:00                55.6432                54.8636                55.6025
2017-05-17T05:17                62.3037                59.9161                62.2193
2017-05-17T10:20                62.7782                56.0609                62.7260
2017-05-17T12:00                55.3986                53.2087                55.3725
2017-05-18T12:00                54.2422                53.4491                54.2158
2017-05-18T17:06                57.4567                57.1108                57.4064
2017-05-19T12:00                53.4048                53.2374                53.3746
2017-05-20T12:00                53.2833                53.1178                53.2521
2017-05-22T05:26                56.9190                56.5837                56.8645
2017-05-23T05:17                58.5684                57.8289                58.4938
2017-05-24T17:06                60.7513                58.6878                60.6608
2017-05-27T10:20                64.0435                57.3909                63.9604
2017-05-28T05:26                61.9672                59.5053                61.8518
2017-05-29T05:17                59.3785                58.3527                59.2711
2017-05-30T17:06                58.8778                57.9328                58.7679
2017-06-03T05:26                61.3229                59.0272                61.1943
2017-06-03T10:10                62.6619                56.9032                62.5557
2017-06-04T05:17                61.6097                59.3394                61.4806
2017-06-05T17:06                58.4421                57.6466                58.3412
2017-06-09T05:26                57.6880                57.2013                57.5968
2017-06-10T05:17                58.5950                57.9501                58.4971
2017-06-11T17:06                59.9946                58.4628                59.8929
2017-06-13T10:10                60.4920                56.1598                60.4108
2017-06-15T05:26                59.9240                58.4164                59.8292
2017-06-16T05:17                58.3662                57.7353                58.2827
2017-06-17T17:06                57.2525                56.8785                57.1771
2017-06-21T05:26                57.2866                56.8678                57.2129
2017-06-22T05:17                58.7679                57.9711                58.6827
2017-06-23T17:06                60.9140                58.7538                60.8211
2017-06-26T10:20                64.6796                57.6167                64.5993
2017-06-27T05:26                62.0093                59.4936                61.9097
2017-06-28T05:17                58.9111                57.9986                58.8295
2017-06-29T17:06                57.4036                56.9450                57.3284
2017-07-03T05:26                57.3989                56.9352                57.3168
2017-07-04T05:17                58.9434                58.0574                58.8262
2017-07-05T17:06                62.1857                59.5106                61.9639
2017-07-06T10:20                64.4183                56.5641                63.5337
2017-07-08T10:10                62.1025                54.5226                56.7154
2017-07-09T05:26                61.4066                57.5798                58.3112
2017-07-10T05:17                58.6551                57.0109                57.2948
2017-07-11T17:06                57.3037                56.2715                56.3878
2017-07-15T05:26                57.2756                56.0526                56.1051
2017-07-16T05:17                58.6686                56.2971                56.3232
2017-07-17T17:06                61.4143                56.1317                56.1452
2017-07-18T10:10                61.9246                53.3890                53.3951
2017-07-21T05:26                63.7526                55.7511                55.7556
2017-07-21T10:20                65.0725                53.1780                53.1806
2017-07-22T05:17                61.9826                55.6907                55.6932
2017-07-23T17:06                57.5726                54.7370                54.7392
2017-07-27T05:26                54.9794                53.4933                53.4953
2017-07-28T05:17                51.9597                51.0717                51.0735
2017-07-29T17:06                44.9088                44.3082                44.3097
