date                 s1s2   no-S1A   no-S1B   no-S2A   no-S2B
2017-05-01T16:58  44.0732  40.3449  43.8958  44.0416  44.0648
2017-05-04T05:26  50.8086  50.6490  48.5778  50.7725  50.7989
2017-05-05T05:17  53.8053  50.6471  53.6291  53.7658  53.7945
2017-05-06T17:06  54.7328  50.7953  54.5447  54.6934  54.7218
2017-05-10T05:26  55.3512  51.2538  55.2367  55.3132  55.3402
2017-05-10T12:00  53.2292  52.5315  52.3503  53.2007  53.2206
2017-05-11T05:17  56.3436  56.1630  51.3410  56.3046  56.3315
2017-05-11T12:00  52.8938  52.7978  51.0238  52.8692  52.8862
2017-05-12T12:00  52.9002  52.8156  51.0481  52.8712  52.8920
2017-05-12T17:06  56.3718  56.2411  51.4402  56.3133  56.3570
2017-05-13T12:00  53.5155  52.7000  52.6363  53.4459  53.5032
2017-05-13T16:58  56.1643  51.6203  56.0660  56.0170  56.1459
2017-05-14T12:00  52.9946  51.6834  52.7282  52.7896  52.9808
2017-05-15T12:00  53.2332  52.9625  51.8361  52.7966  53.2153
2017-05-16T05:26  57.2139  57.0455  52.2919  56.0478  57.1773
2017-05-16T12:00  55.6432  53.9336  54.6444  53.4757  55.6055
2017-05-17T05:17  62.3037  54.6389  62.1804  56.4719  62.2310
2017-05-17T10:20  62.7782  60.2116  62.7268  52.7759  62.7511
2017-05-17T12:00  55.3986  54.0503  55.3672  51.8970  55.3798
2017-05-18T12:00  54.2422  51.9891  54.2055  52.7235  54.2181
2017-05-18T17:06  57.4567  51.3181  57.3852  56.2979  57.4071
2017-05-19T12:00  53.4048  51.2665  53.3732  52.8589  53.3750
2017-05-20T12:00  53.2833  51.7769  53.2339  52.7399  53.2525
2017-05-22T05:26  56.9190  53.4287  56.7695  55.7789  56.8652
2017-05-23T05:17  58.5684  58.3006  53.8803  56.1699  58.4952
2017-05-24T17:06  60.7513  60.4413  54.8254  55.7770  60.6659
2017-05-27T10:20  64.0435  63.8515  61.0339  53.3727  63.9837
2017-05-28T05:26  61.9672  61.6537  56.4035  56.0478  61.8616
2017-05-29T05:17  59.3785  54.7615  59.1569  56.2138  59.2736
2017-05-30T17:06  58.8778  53.1510  58.7484  55.8615  58.7709
2017-06-03T05:26  61.3229  54.4704  60.9936  55.8992  61.2089
2017-06-03T10:10  62.6619  60.6127  60.5825  53.3737  62.5824
2017-06-04T05:17  61.6097  61.1323  54.3723  56.1653  61.4954
2017-06-05T17:06  58.4421  58.1818  52.8235  55.8672  58.3441
2017-06-09T05:26  57.6880  57.4126  53.7650  55.8670  57.5980
2017-06-10T05:17  58.5950  53.7584  58.4718  56.1970  58.4986
2017-06-11T17:06  59.9946  53.8153  59.8809  55.7991  59.8968
2017-06-13T10:10  60.4920  57.6644  60.4154  53.3553  60.4314
2017-06-15T05:26  59.9240  55.0892  59.7583  55.8179  59.8331
2017-06-16T05:17  58.3662  58.0520  54.0129  56.2059  58.2843
2017-06-17T17:06  57.2525  57.0787  52.6277  55.8580  57.1780
2017-06-21T05:26  57.2866  57.0645  53.6885  55.8402  57.2139
2017-06-22T05:17  58.7679  54.0330  58.6347  56.2369  58.6843
2017-06-23T17:06  60.9140  55.0588  60.7796  55.7940  60.8267
2017-06-26T10:20  64.6796  61.7297  64.5972  53.3896  64.6254
2017-06-27T05:26  62.0093  56.4292  61.8694  56.0884  61.9197
2017-06-28T05:17  58.9111  58.5892  54.6731  56.3162  58.8318
2017-06-29T17:06  57.4036  57.2385  52.8639  56.0344  57.3293
2017-07-03T05:26  57.3989  57.1741  53.8098  56.2681  57.3177
2017-07-04T05:17  58.9434  54.0978  58.8186  57.1761  58.8281
2017-07-05T17:06  62.1857  55.1173  62.0443  57.9634  61.9743
2017-07-06T10:20  64.4183  61.8156  64.3532  55.7203  63.5603
2017-07-08T10:10  62.1025  59.8207  62.0431  60.2586  56.7224
2017-07-09T05:26  61.4066  55.8430  61.2724  60.7372  58.3129
2017-07-10T05:17  58.6551  58.3531  54.4751  58.2338  57.2955
2017-07-11T17:06  57.3037  57.1498  52.7656  56.9706  56.3881
2017-07-15T05:26  57.2756  57.0316  53.6966  56.9605  56.1053
2017-07-16T05:17  58.6686  53.6785  58.5424  58.3015  56.3233
2017-07-17T17:06  61.4143  53.8686  61.2640  60.9831  56.1454
2017-07-18T10:10  61.9246  57.8709  61.8124  61.6216  53.3952
2017-07-21T05:26  63.7526  56.4788  63.4721  63.2761  55.7557
2017-07-21T10:20  65.0725  63.0419  63.2096  64.7795  53.1806
2017-07-22T05:17  61.9826  61.5193  54.9675  61.6022  55.6933
2017-07-23T17:06  57.5726  57.2879  52.3434  57.2972  54.7393
2017-07-27T05:26  54.9794  54.8411  51.6095  54.7776  53.4953
2017-07-28T05:17  51.9597  48.0954  51.8928  51.8025  51.0736
2017-07-29T17:06  44.9088  38.9736  44.8169  44.7858  44.3097
