date                  s1s2   only-s1   only-s2     noobs
2017-05-01T16:58   44.0732   44.0066   37.5189   37.5189
2017-05-04T05:26   50.8086   50.7324   45.4581   45.4581
2017-05-05T05:17   53.8053   53.7214   48.7209   48.7209
2017-05-06T17:06   54.7328   54.6485   49.9876   49.9876
2017-05-10T05:26   55.3512   55.2694   50.4666   50.4666
2017-05-10T12:00   53.2292   53.1672   50.6459   50.6458
2017-05-11T05:17   56.3436   56.2587   50.7127   50.7126
2017-05-11T12:00   52.8938   52.8418   50.7378   50.7374
2017-05-12T12:00   52.9002   52.8436   50.7478   50.7466
2017-05-12T17:06   56.3718   56.2666   50.7531   50.7501
2017-05-13T12:00   53.5155   53.4118   50.7596   50.7513
2017-05-13T16:58   56.1643   55.9722   50.7740   50.7518
2017-05-14T12:00   52.9946   52.7626   50.8117   50.7520
2017-05-15T12:00   53.2332   52.7693   50.9128   50.7521
2017-05-16T05:26   57.2139   56.0013   51.1858   50.7521
2017-05-16T12:00   55.6432   53.4398   51.9282   50.7521
2017-05-17T05:17   62.3037   56.4218   53.9852   50.7521
2017-05-17T10:20   62.7782   52.7513   60.0427   50.7521
2017-05-17T12:00   55.3986   51.8783   53.9875   50.7521
2017-05-18T12:00   54.2422   52.7000   51.9360   50.7521
2017-05-18T17:06   57.4567   56.2515   51.2079   50.7521
2017-05-19T12:00   53.4048   52.8318   50.9733   50.7521
2017-05-20T12:00   53.2833   52.7135   50.9757   50.7521
2017-05-22T05:26   56.9190   55.7355   51.2176   50.7521
2017-05-23T05:17   58.5684   56.1226   51.9636   50.7521
2017-05-24T17:06   60.7513   55.7320   54.0657   50.7521
2017-05-27T10:20   64.0435   53.3390   60.2858   50.7521
2017-05-28T05:26   61.9672   56.0028   54.1568   50.7521
2017-05-29T05:17   59.3785   56.1671   52.2658   50.7521
2017-05-30T17:06   58.8778   55.8163   52.0822   50.7521
2017-06-03T05:26   61.3229   55.8561   53.3850   50.7521
2017-06-03T10:10   62.6619   53.3413   57.8314   50.7521
2017-06-04T05:17   61.6097   56.1215   53.2894   50.7521
2017-06-05T17:06   58.4421   55.8233   51.7710   50.7521
2017-06-09T05:26   57.6880   55.8241   51.3811   50.7521
2017-06-10T05:17   58.5950   56.1536   51.6750   50.7521
2017-06-11T17:06   59.9946   55.7592   52.9862   50.7521
2017-06-13T10:10   60.4920   53.3265   56.9196   50.7521
2017-06-15T05:26   59.9240   55.7809   52.9687   50.7521
2017-06-16T05:17   58.3662   56.1675   51.6186   50.7521
2017-06-17T17:06   57.2525   55.8217   51.2224   50.7521
2017-06-21T05:26   57.2866   55.8067   51.3345   50.7521
2017-06-22T05:17   58.7679   56.2043   52.0795   50.7521
2017-06-23T17:06   60.9140   55.7637   54.3171   50.7521
2017-06-26T10:20   64.6796   53.3610   61.0456   50.7521
2017-06-27T05:26   62.0093   56.0328   54.3246   50.7521
2017-06-28T05:17   58.9111   56.2074   52.1045   50.7521
2017-06-29T17:06   57.4036   55.8150   51.4058   50.7521
2017-07-03T05:26   57.3989   55.8158   51.4190   50.7521
2017-07-04T05:17   58.9434   56.1910   52.1589   50.7521
2017-07-05T17:06   62.1857   56.0817   54.4854   50.7521
2017-07-06T10:20   64.4183   52.7968   61.5585   50.7521
2017-07-08T10:10   62.1025   52.7904   59.1786   50.7521
2017-07-09T05:26   61.4066   56.0539   53.7168   50.7521
2017-07-10T05:17   58.6551   56.1508   51.8694   50.7520
2017-07-11T17:06   57.3037   55.7996   51.2663   50.7518
2017-07-15T05:26   57.2756   55.7965   51.2203   50.7513
2017-07-16T05:17   58.6686   56.1477   51.6805   50.7501
2017-07-17T17:06   61.4143   56.0340   53.1658   50.7466
2017-07-18T10:10   61.9246   53.3327   57.5114   50.7374
2017-07-21T05:26   63.7526   55.6894   55.7225   50.7126
2017-07-21T10:20   65.0725   53.1312   60.5382   50.6458
2017-07-22T05:17   61.9826   55.6249   53.9318   50.4666
2017-07-23T17:06   57.5726   54.6708   51.2835   49.9876
2017-07-27T05:26   54.9794   53.4286   49.2358   48.7209
2017-07-28T05:17   51.9597   51.0081   45.6877   45.4581
2017-07-29T17:06   44.9088   44.2524   37.6471   37.5189
