date                       prior            s1s2   S2A-no-visnir    S2A-no-swnir
2017-05-01T16:58          5.0000          1.3231          1.3238          1.3231
2017-05-04T05:26          5.0000          1.1745          1.1752          1.1745
2017-05-05T05:17          5.0000          1.0952          1.0960          1.0952
2017-05-06T17:06          5.0000          1.0715          1.0723          1.0715
2017-05-10T05:26          5.0000          1.0654          1.0662          1.0655
2017-05-10T12:00          5.0000          1.1417          1.1424          1.1417
2017-05-11T05:17          5.0000          1.0469          1.0476          1.0469
2017-05-11T12:00          5.0000          1.1765          1.1771          1.1765
2017-05-12T12:00          5.0000          1.1765          1.1772          1.1766
2017-05-12T17:06          5.0000          1.0470          1.0479          1.0471
2017-05-13T12:00          5.0000          1.1362          1.1370          1.1362
2017-05-13T16:58          5.0000          1.0549          1.0560          1.0550
2017-05-14T12:00          5.0000          1.1669          1.1682          1.1669
2017-05-15T12:00          5.0000          1.1502          1.1521          1.1502
2017-05-16T05:26          5.0000          0.9951          0.9986          0.9952
2017-05-16T12:00          5.0000          1.0065          1.0115          1.0065
2017-05-17T05:17          5.0000          0.7632          0.7733          0.7633
2017-05-17T10:20          5.0000          0.0488          0.1667          0.0503
2017-05-17T12:00          5.0000          0.8609          0.8703          0.8610
2017-05-18T12:00          5.0000          1.0192          1.0243          1.0192
2017-05-18T17:06          5.0000          0.9711          0.9750          0.9711
2017-05-19T12:00          5.0000          1.1244          1.1271          1.1244
2017-05-20T12:00          5.0000          1.1297          1.1325          1.1297
2017-05-22T05:26          5.0000          0.9902          0.9944          0.9903
2017-05-23T05:17          5.0000          0.9080          0.9155          0.9080
2017-05-24T17:06          5.0000          0.7677          0.7803          0.7677
2017-05-27T10:20          5.0000          0.0492          0.1704          0.0507
2017-05-28T05:26          5.0000          0.7527          0.7620          0.7528
2017-05-29T05:17          5.0000          0.8604          0.8672          0.8605
2017-05-30T17:06          5.0000          0.8721          0.8786          0.8721
2017-06-03T05:26          5.0000          0.7531          0.7609          0.7531
2017-06-03T10:10          5.0000          0.0476          0.1626          0.0490
2017-06-04T05:17          5.0000          0.7528          0.7607          0.7529
2017-06-05T17:06          5.0000          0.8929          0.8986          0.8929
2017-06-09T05:26          5.0000          0.9264          0.9314          0.9264
2017-06-10T05:17          5.0000          0.8852          0.8916          0.8853
2017-06-11T17:06          5.0000          0.7632          0.7731          0.7632
2017-06-13T10:10          5.0000          0.0477          0.1678          0.0492
2017-06-15T05:26          5.0000          0.7681          0.7781          0.7682
2017-06-16T05:17          5.0000          0.8895          0.8953          0.8895
2017-06-17T17:06          5.0000          0.9458          0.9501          0.9458
2017-06-21T05:26          5.0000          0.9491          0.9539          0.9491
2017-06-22T05:17          5.0000          0.8916          0.8995          0.8916
2017-06-23T17:06          5.0000          0.7641          0.7772          0.7641
2017-06-26T10:20          5.0000          0.0496          0.1726          0.0512
2017-06-27T05:26          5.0000          0.7612          0.7711          0.7613
2017-06-28T05:17          5.0000          0.8879          0.8940          0.8879
2017-06-29T17:06          5.0000          0.9459          0.9503          0.9459
2017-07-03T05:26          5.0000          0.9493          0.9534          0.9493
2017-07-04T05:17          5.0000          0.8935          0.8994          0.8935
2017-07-05T17:06          5.0000          0.7586          0.7670          0.7587
2017-07-06T10:20          5.0000          0.0493          0.1681          0.0508
2017-07-08T10:10          5.0000          0.0473          0.0474          0.0473
2017-07-09T05:26          5.0000          0.7616          0.7628          0.7616
2017-07-10T05:17          5.0000          0.8907          0.8915          0.8907
2017-07-11T17:06          5.0000          0.9467          0.9472          0.9467
2017-07-15T05:26          5.0000          0.9495          0.9499          0.9495
2017-07-16T05:17          5.0000          0.8939          0.8941          0.8939
2017-07-17T17:06          5.0000          0.7567          0.7568          0.7567
2017-07-18T10:10          5.0000          0.0471          0.0471          0.0471
2017-07-21T05:26          5.0000          0.6405          0.6405          0.6405
2017-07-21T10:20          5.0000          0.0488          0.0488          0.0488
2017-07-22T05:17          5.0000          0.7632          0.7634          0.7632
2017-07-23T17:06          5.0000          0.9344          0.9347          0.9344
2017-07-27T05:26          5.0000          1.0301          1.0305          1.0301
2017-07-28T05:17          5.0000          1.1095          1.1100          1.1095
2017-07-29T17:06          5.0000          1.2710          1.2715          1.2710
