date                              prior                   s1s2   S2B-no-S2A-no-visnir    S2B-no-S2A-no-swnir
2017-05-01T16:58                 5.0000                 1.3231                 1.3291                 1.3283
2017-05-04T05:26                 5.0000                 1.1745                 1.1812                 1.1803
2017-05-05T05:17                 5.0000                 1.0952                 1.1024                 1.1014
2017-05-06T17:06                 5.0000                 1.0715                 1.0788                 1.0778
2017-05-10T05:26                 5.0000                 1.0654                 1.0726                 1.0716
2017-05-10T12:00                 5.0000                 1.1417                 1.1480                 1.1471
2017-05-11T05:17                 5.0000                 1.0469                 1.0539                 1.0529
2017-05-11T12:00                 5.0000                 1.1765                 1.1821                 1.1813
2017-05-12T12:00                 5.0000                 1.1765                 1.1820                 1.1812
2017-05-12T17:06                 5.0000                 1.0470                 1.0536                 1.0526
2017-05-13T12:00                 5.0000                 1.1362                 1.1418                 1.1408
2017-05-13T16:58                 5.0000                 1.0549                 1.0611                 1.0599
2017-05-14T12:00                 5.0000                 1.1669                 1.1719                 1.1705
2017-05-15T12:00                 5.0000                 1.1502                 1.1554                 1.1534
2017-05-16T05:26                 5.0000                 0.9951                 1.0021                 0.9986
2017-05-16T12:00                 5.0000                 1.0065                 1.0138                 1.0087
2017-05-17T05:17                 5.0000                 0.7632                 0.7751                 0.7651
2017-05-17T10:20                 5.0000                 0.0488                 0.1667                 0.0503
2017-05-17T12:00                 5.0000                 0.8609                 0.8706                 0.8612
2017-05-18T12:00                 5.0000                 1.0192                 1.0253                 1.0202
2017-05-18T17:06                 5.0000                 0.9711                 0.9775                 0.9736
2017-05-19T12:00                 5.0000                 1.1244                 1.1292                 1.1265
2017-05-20T12:00                 5.0000                 1.1297                 1.1346                 1.1318
2017-05-22T05:26                 5.0000                 0.9902                 0.9971                 0.9929
2017-05-23T05:17                 5.0000                 0.9080                 0.9178                 0.9103
2017-05-24T17:06                 5.0000                 0.7677                 0.7815                 0.7690
2017-05-27T10:20                 5.0000                 0.0492                 0.1704                 0.0507
2017-05-28T05:26                 5.0000                 0.7527                 0.7630                 0.7538
2017-05-29T05:17                 5.0000                 0.8604                 0.8688                 0.8620
2017-05-30T17:06                 5.0000                 0.8721                 0.8801                 0.8736
2017-06-03T05:26                 5.0000                 0.7531                 0.7619                 0.7541
2017-06-03T10:10                 5.0000                 0.0476                 0.1626                 0.0490
2017-06-04T05:17                 5.0000                 0.7528                 0.7618                 0.7540
2017-06-05T17:06                 5.0000                 0.8929                 0.9005                 0.8947
2017-06-09T05:26                 5.0000                 0.9264                 0.9335                 0.9285
2017-06-10T05:17                 5.0000                 0.8852                 0.8935                 0.8872
2017-06-11T17:06                 5.0000                 0.7632                 0.7742                 0.7643
2017-06-13T10:10                 5.0000                 0.0477                 0.1678                 0.0492
2017-06-15T05:26                 5.0000                 0.7681                 0.7793                 0.7693
2017-06-16T05:17                 5.0000                 0.8895                 0.8974                 0.8917
2017-06-17T17:06                 5.0000                 0.9458                 0.9528                 0.9484
2017-06-21T05:26                 5.0000                 0.9491                 0.9565                 0.9517
2017-06-22T05:17                 5.0000                 0.8916                 0.9018                 0.8939
2017-06-23T17:06                 5.0000                 0.7641                 0.7785                 0.7654
2017-06-26T10:20                 5.0000                 0.0496                 0.1726                 0.0512
2017-06-27T05:26                 5.0000                 0.7612                 0.7725                 0.7627
2017-06-28T05:17                 5.0000                 0.8879                 0.8966                 0.8903
2017-06-29T17:06                 5.0000                 0.9459                 0.9537                 0.9489
2017-07-03T05:26                 5.0000                 0.9493                 0.9573                 0.9525
2017-07-04T05:17                 5.0000                 0.8935                 0.9039                 0.8968
2017-07-05T17:06                 5.0000                 0.7586                 0.7715                 0.7615
2017-07-06T10:20                 5.0000                 0.0493                 0.1717                 0.0510
2017-07-08T10:10                 5.0000                 0.0473                 0.8421                 0.8315
2017-07-09T05:26                 5.0000                 0.7616                 0.9185                 0.9114
2017-07-10T05:17                 5.0000                 0.8907                 0.9706                 0.9665
2017-07-11T17:06                 5.0000                 0.9467                 1.0089                 1.0063
2017-07-15T05:26                 5.0000                 0.9495                 1.0278                 1.0261
2017-07-16T05:17                 5.0000                 0.8939                 1.0250                 1.0237
2017-07-17T17:06                 5.0000                 0.7567                 1.0391                 1.0380
2017-07-18T10:10                 5.0000                 0.0471                 1.1389                 1.1380
2017-07-21T05:26                 5.0000                 0.6405                 1.0718                 1.0708
2017-07-21T10:20                 5.0000                 0.0488                 1.1489                 1.1481
2017-07-22T05:17                 5.0000                 0.7632                 1.0580                 1.0570
2017-07-23T17:06                 5.0000                 0.9344                 1.0774                 1.0764
2017-07-27T05:26                 5.0000                 1.0301                 1.1128                 1.1118
2017-07-28T05:17                 5.0000                 1.1095                 1.1650                 1.1640
2017-07-29T17:06                 5.0000                 1.2710                 1.3119                 1.3110
