date                prior     s1s2   no-S1A   no-S1B   no-S2A   no-S2B
2017-05-01T16:58   5.0000   1.3231   1.5818   1.3619   1.3439   1.3282
2017-05-04T05:26   5.0000   1.1745   1.2908   1.2900   1.1979   1.1802
2017-05-05T05:17   5.0000   1.0952   1.3596   1.1155   1.1203   1.1013
2017-05-06T17:06   5.0000   1.0715   1.3763   1.0910   1.0971   1.0777
2017-05-10T05:26   5.0000   1.0654   1.3458   1.1004   1.0909   1.0716
2017-05-10T12:00   5.0000   1.1417   1.2591   1.2666   1.1647   1.1471
2017-05-11T05:17   5.0000   1.0469   1.0867   1.3550   1.0730   1.0529
2017-05-11T12:00   5.0000   1.1765   1.2034   1.3939   1.1988   1.1813
2017-05-12T12:00   5.0000   1.1765   1.2015   1.3938   1.1997   1.1812
2017-05-12T17:06   5.0000   1.0470   1.0799   1.3546   1.0762   1.0526
2017-05-13T12:00   5.0000   1.1362   1.2334   1.2659   1.1652   1.1408
2017-05-13T16:58   5.0000   1.0549   1.2941   1.0990   1.0915   1.0598
2017-05-14T12:00   5.0000   1.1669   1.2852   1.2264   1.2088   1.1705
2017-05-15T12:00   5.0000   1.1502   1.2033   1.2620   1.2081   1.1534
2017-05-16T05:26   5.0000   0.9951   1.0154   1.2197   1.0889   0.9986
2017-05-16T12:00   5.0000   1.0065   1.0370   1.0829   1.1630   1.0087
2017-05-17T05:17   5.0000   0.7632   0.8661   0.7722   1.0723   0.7650
2017-05-17T10:20   5.0000   0.0488   0.0488   0.0488   1.2239   0.0488
2017-05-17T12:00   5.0000   0.8609   0.8967   0.8613   1.2702   0.8612
2017-05-18T12:00   5.0000   1.0192   1.1404   1.0205   1.2308   1.0202
2017-05-18T17:06   5.0000   0.9711   1.2539   0.9746   1.0893   0.9736
2017-05-19T12:00   5.0000   1.1244   1.2896   1.1281   1.2085   1.1265
2017-05-20T12:00   5.0000   1.1297   1.2599   1.1355   1.2099   1.1318
2017-05-22T05:26   5.0000   0.9902   1.1547   1.0015   1.0940   0.9929
2017-05-23T05:17   5.0000   0.9080   0.9272   1.0313   1.0674   0.9103
2017-05-24T17:06   5.0000   0.7677   0.7735   0.8644   1.0792   0.7690
2017-05-27T10:20   5.0000   0.0492   0.0492   0.0493   1.1565   0.0492
2017-05-28T05:26   5.0000   0.7527   0.7617   0.8199   1.0704   0.7537
2017-05-29T05:17   5.0000   0.8604   1.0077   0.8666   1.0576   0.8620
2017-05-30T17:06   5.0000   0.8721   1.0337   0.8785   1.0662   0.8736
2017-06-03T05:26   5.0000   0.7531   0.8650   0.7595   1.0742   0.7540
2017-06-03T10:10   5.0000   0.0476   0.0476   0.0476   1.1545   0.0476
2017-06-04T05:17   5.0000   0.7528   0.7621   0.8716   1.0639   0.7540
2017-06-05T17:06   5.0000   0.8929   0.9034   1.0566   1.0659   0.8947
2017-06-09T05:26   5.0000   0.9264   0.9404   1.0630   1.0684   0.9285
2017-06-10T05:17   5.0000   0.8852   1.0071   0.8960   1.0593   0.8872
2017-06-11T17:06   5.0000   0.7632   0.8574   0.7657   1.0773   0.7643
2017-06-13T10:10   5.0000   0.0477   0.0478   0.0477   1.1587   0.0477
2017-06-15T05:26   5.0000   0.7681   0.8283   0.7815   1.0807   0.7693
2017-06-16T05:17   5.0000   0.8895   0.8993   1.0566   1.0593   0.8917
2017-06-17T17:06   5.0000   0.9458   0.9571   1.1435   1.0640   0.9484
2017-06-21T05:26   5.0000   0.9491   0.9644   1.1022   1.0668   0.9516
2017-06-22T05:17   5.0000   0.8916   1.0165   0.9073   1.0545   0.8939
2017-06-23T17:06   5.0000   0.7641   0.8602   0.7678   1.0725   0.7653
2017-06-26T10:20   5.0000   0.0496   0.0497   0.0496   1.1492   0.0496
2017-06-27T05:26   5.0000   0.7612   0.8279   0.7735   1.0596   0.7626
2017-06-28T05:17   5.0000   0.8879   0.8976   1.0538   1.0400   0.8903
2017-06-29T17:06   5.0000   0.9459   0.9567   1.1428   1.0379   0.9489
2017-07-03T05:26   5.0000   0.9493   0.9635   1.1028   1.0227   0.9524
2017-07-04T05:17   5.0000   0.8935   1.0162   0.9092   0.9783   0.8968
2017-07-05T17:06   5.0000   0.7586   0.8601   0.7623   0.9149   0.7613
2017-07-06T10:20   5.0000   0.0493   0.0493   0.0493   0.8323   0.0495
2017-07-08T10:10   5.0000   0.0473   0.0473   0.0473   0.0475   0.8315
2017-07-09T05:26   5.0000   0.7616   0.8283   0.7735   0.7690   0.9113
2017-07-10T05:17   5.0000   0.8907   0.8998   1.0539   0.9009   0.9664
2017-07-11T17:06   5.0000   0.9467   0.9577   1.1430   0.9580   1.0063
2017-07-15T05:26   5.0000   0.9495   0.9645   1.1032   0.9603   1.0260
2017-07-16T05:17   5.0000   0.8939   1.0165   0.9099   0.9030   1.0236
2017-07-17T17:06   5.0000   0.7567   0.8601   0.7606   0.7619   1.0379
2017-07-18T10:10   5.0000   0.0471   0.0471   0.0471   0.0471   1.1380
2017-07-21T05:26   5.0000   0.6405   0.7009   0.6429   0.6416   1.0708
2017-07-21T10:20   5.0000   0.0488   0.0489   0.0488   0.0488   1.1480
2017-07-22T05:17   5.0000   0.7632   0.7779   0.8854   0.7692   1.0570
2017-07-23T17:06   5.0000   0.9344   0.9619   1.1030   0.9450   1.0764
2017-07-27T05:26   5.0000   1.0301   1.0940   1.1706   1.0435   1.1118
2017-07-28T05:17   5.0000   1.1095   1.3987   1.1269   1.1244   1.1640
2017-07-29T17:06   5.0000   1.2710   1.6644   1.2805   1.2850   1.3110
