date                 prior      s1s2   only-s1   only-s2     noobs
2017-05-01T16:58    5.0000    1.3231    1.3654    2.1250    2.1272
2017-05-04T05:26    5.0000    1.1745    1.2219    1.9607    1.9632
2017-05-05T05:17    5.0000    1.0952    1.1461    1.8419    1.8451
2017-05-06T17:06    5.0000    1.0715    1.1231    1.7573    1.7614
2017-05-10T05:26    5.0000    1.0654    1.1166    1.6974    1.7029
2017-05-10T12:00    5.0000    1.1417    1.1876    1.6549    1.6626
2017-05-11T05:17    5.0000    1.0469    1.0985    1.6241    1.6350
2017-05-11T12:00    5.0000    1.1765    1.2198    1.6005    1.6162
2017-05-12T12:00    5.0000    1.1765    1.2205    1.5806    1.6035
2017-05-12T17:06    5.0000    1.0470    1.1011    1.5612    1.5949
2017-05-13T12:00    5.0000    1.1362    1.1871    1.5391    1.5891
2017-05-13T16:58    5.0000    1.0549    1.1156    1.5106    1.5852
2017-05-14T12:00    5.0000    1.1669    1.2289    1.4706    1.5826
2017-05-15T12:00    5.0000    1.1502    1.2282    1.4113    1.5808
2017-05-16T05:26    5.0000    0.9951    1.1129    1.3196    1.5796
2017-05-16T12:00    5.0000    1.0065    1.1846    1.1709    1.5788
2017-05-17T05:17    5.0000    0.7632    1.0966    0.9061    1.5783
2017-05-17T10:20    5.0000    0.0488    1.2428    0.0488    1.5779
2017-05-17T12:00    5.0000    0.8609    1.2877    0.8996    1.5777
2017-05-18T12:00    5.0000    1.0192    1.2495    1.1498    1.5775
2017-05-18T17:06    5.0000    0.9711    1.1129    1.2744    1.5774
2017-05-19T12:00    5.0000    1.1244    1.2285    1.3280    1.5774
2017-05-20T12:00    5.0000    1.1297    1.2300    1.3280    1.5773
2017-05-22T05:26    5.0000    0.9902    1.1184    1.2744    1.5773
2017-05-23T05:17    5.0000    0.9080    1.0932    1.1498    1.5773
2017-05-24T17:06    5.0000    0.7677    1.1048    0.8996    1.5772
2017-05-27T10:20    5.0000    0.0492    1.1797    0.0493    1.5772
2017-05-28T05:26    5.0000    0.7527    1.0968    0.8702    1.5772
2017-05-29T05:17    5.0000    0.8604    1.0846    1.0519    1.5772
2017-05-30T17:06    5.0000    0.8721    1.0931    1.0519    1.5772
2017-06-03T05:26    5.0000    0.7531    1.1007    0.8702    1.5772
2017-06-03T10:10    5.0000    0.0476    1.1783    0.0477    1.5772
2017-06-04T05:17    5.0000    0.7528    1.0909    0.8833    1.5772
2017-06-05T17:06    5.0000    0.8929    1.0930    1.0962    1.5772
2017-06-09T05:26    5.0000    0.9264    1.0955    1.1554    1.5772
2017-06-10T05:17    5.0000    0.8852    1.0867    1.0962    1.5772
2017-06-11T17:06    5.0000    0.7632    1.1040    0.8833    1.5772
2017-06-13T10:10    5.0000    0.0477    1.1827    0.0478    1.5772
2017-06-15T05:26    5.0000    0.7681    1.1076    0.8912    1.5772
2017-06-16T05:17    5.0000    0.8895    1.0874    1.1227    1.5772
2017-06-17T17:06    5.0000    0.9458    1.0925    1.2150    1.5772
2017-06-21T05:26    5.0000    0.9491    1.0958    1.2150    1.5772
2017-06-22T05:17    5.0000    0.8916    1.0848    1.1227    1.5773
2017-06-23T17:06    5.0000    0.7641    1.1035    0.8913    1.5773
2017-06-26T10:20    5.0000    0.0496    1.1794    0.0497    1.5773
2017-06-27T05:26    5.0000    0.7612    1.0965    0.8913    1.5774
2017-06-28T05:17    5.0000    0.8879    1.0833    1.1227    1.5774
2017-06-29T17:06    5.0000    0.9459    1.0911    1.2150    1.5775
2017-07-03T05:26    5.0000    0.9493    1.0943    1.2150    1.5777
2017-07-04T05:17    5.0000    0.8935    1.0842    1.1227    1.5779
2017-07-05T17:06    5.0000    0.7586    1.0978    0.8913    1.5783
2017-07-06T10:20    5.0000    0.0493    1.2200    0.0494    1.5788
2017-07-08T10:10    5.0000    0.0473    1.2218    0.0473    1.5796
2017-07-09T05:26    5.0000    0.7616    1.1042    0.8912    1.5808
2017-07-10T05:17    5.0000    0.8907    1.0878    1.1227    1.5826
2017-07-11T17:06    5.0000    0.9467    1.0922    1.2150    1.5852
2017-07-15T05:26    5.0000    0.9495    1.0946    1.2150    1.5891
2017-07-16T05:17    5.0000    0.8939    1.0840    1.1227    1.5949
2017-07-17T17:06    5.0000    0.7567    1.0923    0.8912    1.6035
2017-07-18T10:10    5.0000    0.0471    1.1834    0.0471    1.6162
2017-07-21T05:26    5.0000    0.6405    1.1183    0.7009    1.6350
2017-07-21T10:20    5.0000    0.0488    1.1904    0.0489    1.6626
2017-07-22T05:17    5.0000    0.7632    1.1043    0.9279    1.7029
2017-07-23T17:06    5.0000    0.9344    1.1228    1.2398    1.7614
2017-07-27T05:26    5.0000    1.0301    1.1567    1.4629    1.8451
2017-07-28T05:17    5.0000    1.1095    1.2071    1.6635    1.9632
2017-07-29T17:06    5.0000    1.2710    1.3493    1.8762    2.1272
