date                        s1s2   S2A-no-visnir    S2A-no-swnir
2017-05-01T16:58         73.5376         73.5246         73.5372
2017-05-04T05:26         76.5103         76.4956         76.5098
2017-05-05T05:17         78.0964         78.0806         78.0959
2017-05-06T17:06         78.5701         78.5542         78.5696
2017-05-10T05:26         78.6914         78.6757         78.6908
2017-05-10T12:00         77.1662         77.1524         77.1657
2017-05-11T05:17         79.0630         79.0475         79.0624
2017-05-11T12:00         76.4703         76.4577         76.4699
2017-05-12T12:00         76.4692         76.4564         76.4688
2017-05-12T17:06         79.0590         79.0430         79.0585
2017-05-13T12:00         77.2764         77.2604         77.2760
2017-05-13T16:58         78.9014         78.8804         78.9010
2017-05-14T12:00         76.6619         76.6364         76.6616
2017-05-15T12:00         76.9966         76.9580         76.9963
2017-05-16T05:26         80.0973         80.0290         80.0969
2017-05-16T12:00         79.8702         79.7698         79.8695
2017-05-17T05:17         84.7364         84.5347         84.7342
2017-05-17T10:20         99.0246         96.6664         98.9944
2017-05-17T12:00         82.7816         82.5948         82.7807
2017-05-18T12:00         79.6166         79.5136         79.6163
2017-05-18T17:06         80.5781         80.5006         80.5779
2017-05-19T12:00         77.5114         77.4578         77.5112
2017-05-20T12:00         77.4060         77.3506         77.4058
2017-05-22T05:26         80.1952         80.1117         80.1949
2017-05-23T05:17         81.8395         81.6907         81.8393
2017-05-24T17:06         84.6458         84.3950         84.6454
2017-05-27T10:20         99.0159         96.5927         98.9853
2017-05-28T05:26         84.9470         84.7593         84.9446
2017-05-29T05:17         82.7910         82.6559         82.7905
2017-05-30T17:06         82.5590         82.4278         82.5587
2017-06-03T05:26         84.9390         84.7812         84.9375
2017-06-03T10:10         99.0480         96.7484         99.0196
2017-06-04T05:17         84.9440         84.7865         84.9425
2017-06-05T17:06         82.1427         82.0270         82.1425
2017-06-09T05:26         81.4722         81.3721         81.4720
2017-06-10T05:17         82.2952         82.1683         82.2950
2017-06-11T17:06         84.7360         84.5373         84.7353
2017-06-13T10:10         99.0454         96.6438         99.0168
2017-06-15T05:26         84.6376         84.4374         84.6370
2017-06-16T05:17         82.2098         82.0949         82.2095
2017-06-17T17:06         81.0841         80.9977         81.0839
2017-06-21T05:26         81.0190         80.9221         81.0188
2017-06-22T05:17         82.1680         82.0095         82.1678
2017-06-23T17:06         84.7184         84.4558         84.7180
2017-06-26T10:20         99.0075         96.5474         98.9767
2017-06-27T05:26         84.7759         84.5776         84.7735
2017-06-28T05:17         82.2418         82.1208         82.2412
2017-06-29T17:06         81.0818         80.9949         81.0816
2017-07-03T05:26         81.0150         80.9326         81.0147
2017-07-04T05:17         82.1296         82.0126         82.1291
2017-07-05T17:06         84.8286         84.6608         84.8257
2017-07-06T10:20         99.0144         96.6375         98.9836
2017-07-08T10:10         99.0547         99.0526         99.0547
2017-07-09T05:26         84.7685         84.7436         84.7683
2017-07-10T05:17         82.1854         82.1699         82.1852
2017-07-11T17:06         81.0658         81.0550         81.0656
2017-07-15T05:26         81.0096         81.0018         81.0094
2017-07-16T05:17         82.1227         82.1170         82.1226
2017-07-17T17:06         84.8664         84.8633         84.8663
2017-07-18T10:10         99.0586         99.0585         99.0586
2017-07-21T05:26         87.1897         87.1890         87.1897
2017-07-21T10:20         99.0236         99.0236         99.0236
2017-07-22T05:17         84.7366         84.7328         84.7364
2017-07-23T17:06         81.3120         81.3052         81.3117
2017-07-27T05:26         79.3987         79.3900         79.3984
2017-07-28T05:17         77.8099         77.8004         77.8096
2017-07-29T17:06         74.5798         74.5709         74.5795
