date                               s1s2   S2B-no-S2A-no-visnir    S2B-no-S2A-no-swnir
2017-05-01T16:58                73.5376                73.4183                73.4347
2017-05-04T05:26                76.5103                76.3761                76.3946
2017-05-05T05:17                78.0964                77.9525                77.9723
2017-05-06T17:06                78.5701                78.4249                78.4449
2017-05-10T05:26                78.6914                78.5485                78.5682
2017-05-10T12:00                77.1662                77.0404                77.0577
2017-05-11T05:17                79.0630                78.9229                78.9423
2017-05-11T12:00                76.4703                76.3577                76.3735
2017-05-12T12:00                76.4692                76.3592                76.3750
2017-05-12T17:06                79.0590                78.9280                78.9476
2017-05-13T12:00                77.2764                77.1643                77.1831
2017-05-13T16:58                78.9014                78.7790                78.8030
2017-05-14T12:00                76.6619                76.5616                76.5893
2017-05-15T12:00                76.9966                76.8921                76.9324
2017-05-16T05:26                80.0973                79.9578                80.0278
2017-05-16T12:00                79.8702                79.7250                79.8258
2017-05-17T05:17                84.7364                84.4984                84.6985
2017-05-17T10:20                99.0246                96.6663                98.9944
2017-05-17T12:00                82.7816                82.5888                82.7751
2017-05-18T12:00                79.6166                79.4932                79.5966
2017-05-18T17:06                80.5781                80.4496                80.5282
2017-05-19T12:00                77.5114                77.4161                77.4705
2017-05-20T12:00                77.4060                77.3082                77.3643
2017-05-22T05:26                80.1952                80.0585                80.1425
2017-05-23T05:17                81.8395                81.6443                81.7930
2017-05-24T17:06                84.6458                84.3697                84.6198
2017-05-27T10:20                99.0159                96.5927                98.9853
2017-05-28T05:26                84.9470                84.7397                84.9246
2017-05-29T05:17                82.7910                82.6249                82.7593
2017-05-30T17:06                82.5590                82.3973                82.5283
2017-06-03T05:26                84.9390                84.7623                84.9187
2017-06-03T10:10                99.0480                96.7484                99.0196
2017-06-04T05:17                84.9440                84.7633                84.9195
2017-06-05T17:06                82.1427                81.9893                82.1051
2017-06-09T05:26                81.4722                81.3300                81.4304
2017-06-10T05:17                82.2952                82.1295                82.2564
2017-06-11T17:06                84.7360                84.5151                84.7133
2017-06-13T10:10                99.0454                96.6438                99.0168
2017-06-15T05:26                84.6376                84.4137                84.6133
2017-06-16T05:17                82.2098                82.0516                82.1666
2017-06-17T17:06                81.0841                80.9449                81.0316
2017-06-21T05:26                81.0190                80.8697                80.9668
2017-06-22T05:17                82.1680                81.9639                82.1222
2017-06-23T17:06                84.7184                84.4309                84.6929
2017-06-26T10:20                99.0075                96.5474                98.9767
2017-06-27T05:26                84.7759                84.5495                84.7466
2017-06-28T05:17                82.2418                82.0689                82.1933
2017-06-29T17:06                81.0818                80.9266                81.0217
2017-07-03T05:26                81.0150                80.8537                80.9508
2017-07-04T05:17                82.1296                81.9212                82.0637
2017-07-05T17:06                84.8286                84.5705                84.7702
2017-07-06T10:20                99.0144                96.5653                98.9803
2017-07-08T10:10                99.0547                83.1576                83.3694
2017-07-09T05:26                84.7685                81.6309                81.7728
2017-07-10T05:17                82.1854                80.5882                80.6709
2017-07-11T17:06                81.0658                79.8229                79.8739
2017-07-15T05:26                81.0096                79.4446                79.4787
2017-07-16T05:17                82.1227                79.5001                79.5264
2017-07-17T17:06                84.8664                79.2185                79.2408
2017-07-18T10:10                99.0586                77.2219                77.2401
2017-07-21T05:26                87.1897                78.5645                78.5838
2017-07-21T10:20                99.0236                77.0214                77.0388
2017-07-22T05:17                84.7366                78.8396                78.8597
2017-07-23T17:06                81.3120                78.4519                78.4718
2017-07-27T05:26                79.3987                77.7444                77.7639
2017-07-28T05:17                77.8099                76.7008                76.7197
2017-07-29T17:06                74.5798                73.7627                73.7794
