date                 s1s2   no-S1A   no-S1B   no-S2A   no-S2B
2017-05-01T16:58  73.5376  68.3642  72.7613  73.1223  73.4353
2017-05-04T05:26  76.5103  74.1835  74.2001  76.0430  76.3952
2017-05-05T05:17  78.0964  72.8082  77.6892  77.5936  77.9730
2017-05-06T17:06  78.5701  72.4732  78.1792  78.0588  78.4456
2017-05-10T05:26  78.6914  73.0845  77.9924  78.1820  78.5689
2017-05-10T12:00  77.1662  74.8172  74.6670  76.7068  77.0583
2017-05-11T05:17  79.0630  78.2668  72.9005  78.5407  78.9430
2017-05-11T12:00  76.4703  75.9316  72.1221  76.0249  76.3741
2017-05-12T12:00  76.4692  75.9702  72.1244  76.0067  76.3756
2017-05-12T17:06  79.0590  78.4024  72.9078  78.4766  78.9482
2017-05-13T12:00  77.2764  75.3322  74.6814  76.6969  77.1837
2017-05-13T16:58  78.9014  74.1170  78.0192  78.1700  78.8035
2017-05-14T12:00  76.6619  74.2966  75.4720  75.8235  76.5897
2017-05-15T12:00  76.9966  75.9330  74.7605  75.8383  76.9328
2017-05-16T05:26  80.0973  79.6917  75.6053  78.2220  80.0282
2017-05-16T12:00  79.8702  79.2595  78.3424  76.7405  79.8266
2017-05-17T05:17  84.7364  82.6788  84.5561  78.5534  84.7007
2017-05-17T10:20  99.0246  99.0237  99.0246  75.5224  99.0246
2017-05-17T12:00  82.7816  82.0665  82.7739  74.5967  82.7760
2017-05-18T12:00  79.6166  77.1915  79.5892  75.3842  79.5970
2017-05-18T17:06  80.5781  74.9221  80.5089  78.2142  80.5285
2017-05-19T12:00  77.5114  74.2087  77.4385  75.8296  77.4707
2017-05-20T12:00  77.4060  74.8014  77.2900  75.8027  77.3645
2017-05-22T05:26  80.1952  76.9058  79.9710  78.1200  80.1428
2017-05-23T05:17  81.8395  81.4556  79.3732  78.6510  81.7933
2017-05-24T17:06  84.6458  84.5306  82.7117  78.4168  84.6203
2017-05-27T10:20  99.0159  99.0158  99.0146  76.8709  99.0159
2017-05-28T05:26  84.9470  84.7655  83.6025  78.5914  84.9270
2017-05-29T05:17  82.7910  79.8454  82.6688  78.8488  82.7598
2017-05-30T17:06  82.5590  79.3251  82.4299  78.6758  82.5285
2017-06-03T05:26  84.9390  82.7009  84.8109  78.5166  84.9201
2017-06-03T10:10  99.0480  99.0476  99.0476  76.9102  99.0480
2017-06-04T05:17  84.9440  84.7588  82.5683  78.7228  84.9210
2017-06-05T17:06  82.1427  81.9329  78.8685  78.6820  82.1054
2017-06-09T05:26  81.4722  81.1922  78.7400  78.6319  81.4306
2017-06-10T05:17  82.2952  79.8587  82.0809  78.8138  82.2567
2017-06-11T17:06  84.7360  82.8514  84.6854  78.4546  84.7139
2017-06-13T10:10  99.0454  99.0443  99.0454  76.8261  99.0454
2017-06-15T05:26  84.6376  83.4341  84.3708  78.3865  84.6140
2017-06-16T05:17  82.2098  82.0132  78.8670  78.8135  82.1669
2017-06-17T17:06  81.0841  80.8570  77.1299  78.7204  81.0319
2017-06-21T05:26  81.0190  80.7120  77.9560  78.6649  80.9670
2017-06-22T05:17  82.1680  79.6695  81.8536  78.9104  82.1224
2017-06-23T17:06  84.7184  82.7962  84.6439  78.5494  84.6933
2017-06-26T10:20  99.0075  99.0060  99.0075  77.0164  99.0075
2017-06-27T05:26  84.7759  83.4416  84.5298  78.8073  84.7490
2017-06-28T05:17  82.2418  82.0488  78.9235  79.1994  82.1939
2017-06-29T17:06  81.0818  80.8660  77.1442  79.2412  81.0219
2017-07-03T05:26  81.0150  80.7300  77.9439  79.5450  80.9511
2017-07-04T05:17  82.1296  79.6769  81.8159  80.4336  82.0642
2017-07-05T17:06  84.8286  82.7987  84.7536  81.7020  84.7730
2017-07-06T10:20  99.0144  99.0131  99.0143  83.3531  99.0109
2017-07-08T10:10  99.0547  99.0540  99.0547  99.0507  83.3701
2017-07-09T05:26  84.7685  83.4331  84.5301  84.6203  81.7731
2017-07-10T05:17  82.1854  82.0039  78.9211  81.9827  80.6714
2017-07-11T17:06  81.0658  80.8467  77.1395  80.8400  79.8744
2017-07-15T05:26  81.0096  80.7103  77.9361  80.7947  79.4793
2017-07-16T05:17  82.1227  79.6699  81.8019  81.9404  79.5271
2017-07-17T17:06  84.8664  82.7982  84.7877  84.7626  79.2415
2017-07-18T10:10  99.0586  99.0575  99.0585  99.0585  77.2407
2017-07-21T05:26  87.1897  85.9811  87.1412  87.1675  78.5845
2017-07-21T10:20  99.0236  99.0227  99.0231  99.0235  77.0395
2017-07-22T05:17  84.7366  84.4422  82.2921  84.6169  78.8604
2017-07-23T17:06  81.3120  80.7610  77.9403  81.1004  78.4726
2017-07-27T05:26  79.3987  78.1193  76.5883  79.1292  77.7646
2017-07-28T05:17  77.8099  72.0262  77.4626  77.5114  76.7204
2017-07-29T17:06  74.5798  66.7117  74.3909  74.2993  73.7800
