date                  s1s2   only-s1   only-s2     noobs
2017-05-01T16:58   73.5376   72.6920   57.4997   57.4562
2017-05-04T05:26   76.5103   75.5614   60.7869   60.7359
2017-05-05T05:17   78.0964   77.0786   63.1619   63.0988
2017-05-06T17:06   78.5701   77.5380   64.8544   64.7724
2017-05-10T05:26   78.6914   77.6677   66.0516   65.9411
2017-05-10T12:00   77.1662   76.2482   66.9014   66.7480
2017-05-11T05:17   79.0630   78.0298   67.5180   67.3004
2017-05-11T12:00   76.4703   75.6040   67.9901   67.6763
2017-05-12T12:00   76.4692   75.5895   68.3888   67.9308
2017-05-12T17:06   79.0590   77.9787   68.7768   68.1027
2017-05-13T12:00   77.2764   76.2583   69.2179   68.2185
2017-05-13T16:58   78.9014   77.6882   69.7871   68.2964
2017-05-14T12:00   76.6619   75.4213   70.5874   68.3488
2017-05-15T12:00   76.9966   75.4369   71.7744   68.3840
2017-05-16T05:26   80.0973   77.7429   73.6085   68.4076
2017-05-16T12:00   79.8702   76.3086   76.5823   68.4235
2017-05-17T05:17   84.7364   78.0671   81.8785   68.4341
2017-05-17T10:20   99.0246   75.1430   99.0237   68.4412
2017-05-17T12:00   82.7816   74.2465   82.0088   68.4460
2017-05-18T12:00   79.6166   75.0101   77.0033   68.4492
2017-05-18T17:06   80.5781   77.7430   74.5126   68.4514
2017-05-19T12:00   77.5114   75.4308   73.4392   68.4528
2017-05-20T12:00   77.4060   75.3991   73.4392   68.4538
2017-05-22T05:26   80.1952   77.6325   74.5125   68.4545
2017-05-23T05:17   81.8395   78.1354   77.0031   68.4549
2017-05-24T17:06   84.6458   77.9038   82.0085   68.4552
2017-05-27T10:20   99.0159   76.4055   99.0142   68.4554
2017-05-28T05:26   84.9470   78.0643   82.5954   68.4555
2017-05-29T05:17   82.7910   78.3079   78.9619   68.4556
2017-05-30T17:06   82.5590   78.1385   78.9622   68.4557
2017-06-03T05:26   84.9390   77.9865   82.5964   68.4557
2017-06-03T10:10   99.0480   76.4331   99.0470   68.4557
2017-06-04T05:17   84.9440   78.1829   82.3349   68.4557
2017-06-05T17:06   82.1427   78.1397   78.0758   68.4557
2017-06-09T05:26   81.4722   78.0906   76.8915   68.4557
2017-06-10T05:17   82.2952   78.2656   78.0757   68.4557
2017-06-11T17:06   84.7360   77.9199   82.3348   68.4557
2017-06-13T10:10   99.0454   76.3451   99.0440   68.4557
2017-06-15T05:26   84.6376   77.8484   82.1752   68.4556
2017-06-16T05:17   82.2098   78.2514   77.5457   68.4555
2017-06-17T17:06   81.0841   78.1505   75.7005   68.4554
2017-06-21T05:26   81.0190   78.0849   75.7003   68.4552
2017-06-22T05:17   82.1680   78.3042   77.5451   68.4549
2017-06-23T17:06   84.7184   77.9309   82.1739   68.4545
2017-06-26T10:20   99.0075   76.4125   99.0056   68.4538
2017-06-27T05:26   84.7759   78.0692   82.1739   68.4528
2017-06-28T05:17   82.2418   78.3335   77.5451   68.4514
2017-06-29T17:06   81.0818   78.1783   75.7002   68.4492
2017-07-03T05:26   81.0150   78.1143   75.7002   68.4460
2017-07-04T05:17   82.1296   78.3169   77.5452   68.4412
2017-07-05T17:06   84.8286   78.0449   82.1741   68.4341
2017-07-06T10:20   99.0144   75.5999   99.0128   68.4235
2017-07-08T10:10   99.0547   75.5634   99.0539   68.4076
2017-07-09T05:26   84.7685   77.9168   82.1756   68.3840
2017-07-10T05:17   82.1854   78.2443   77.5459   68.3488
2017-07-11T17:06   81.0658   78.1562   75.7008   68.2964
2017-07-15T05:26   81.0096   78.1075   75.7008   68.2185
2017-07-16T05:17   82.1227   78.3190   77.5460   68.1027
2017-07-17T17:06   84.8664   78.1536   82.1757   67.9308
2017-07-18T10:10   99.0586   76.3330   99.0572   67.6763
2017-07-21T05:26   87.1897   77.6345   85.9811   67.3004
2017-07-21T10:20   99.0236   76.1920   99.0220   66.7480
2017-07-22T05:17   84.7366   77.9134   81.4420   65.9411
2017-07-23T17:06   81.3120   77.5434   75.2037   64.7724
2017-07-27T05:26   79.3987   76.8668   70.7419   63.0988
2017-07-28T05:17   77.8099   75.8584   66.7298   60.7359
2017-07-29T17:06   74.5798   73.0130   62.4765   57.4562
