date                       prior            s1s2   S2A-no-visnir    S2A-no-swnir
2017-05-01T16:58          0.2000          0.1344          0.1344          0.1344
2017-05-04T05:26          0.2000          0.1183          0.1183          0.1183
2017-05-05T05:17          0.2000          0.1246          0.1246          0.1246
2017-05-06T17:06          0.2000          0.1241          0.1241          0.1241
2017-05-10T05:26          0.2000          0.1140          0.1140          0.1140
2017-05-10T12:00          0.2000          0.1424          0.1424          0.1424
2017-05-11T05:17          0.2000          0.1221          0.1221          0.1221
2017-05-11T12:00          0.2000          0.1561          0.1561          0.1561
2017-05-12T12:00          0.2000          0.1560          0.1560          0.1560
2017-05-12T17:06          0.2000          0.1208          0.1208          0.1208
2017-05-13T12:00          0.2000          0.1423          0.1423          0.1423
2017-05-13T16:58          0.2000          0.1130          0.1130          0.1130
2017-05-14T12:00          0.2000          0.1552          0.1552          0.1552
2017-05-15T12:00          0.2000          0.1553          0.1553          0.1553
2017-05-16T05:26          0.2000          0.1135          0.1135          0.1135
2017-05-16T12:00          0.2000          0.1411          0.1413          0.1411
2017-05-17T05:17          0.2000          0.1089          0.1115          0.1090
2017-05-17T10:20          0.2000          0.0807          0.1131          0.0835
2017-05-17T12:00          0.2000          0.1525          0.1551          0.1527
2017-05-18T12:00          0.2000          0.1559          0.1559          0.1559
2017-05-18T17:06          0.2000          0.1215          0.1216          0.1215
2017-05-19T12:00          0.2000          0.1562          0.1562          0.1562
2017-05-20T12:00          0.2000          0.1758          0.1758          0.1758
2017-05-22T05:26          0.2000          0.1186          0.1186          0.1186
2017-05-23T05:17          0.2000          0.1230          0.1231          0.1230
2017-05-24T17:06          0.2000          0.1177          0.1189          0.1177
2017-05-27T10:20          0.2000          0.0825          0.1171          0.0855
2017-05-28T05:26          0.2000          0.1002          0.1025          0.1003
2017-05-29T05:17          0.2000          0.1194          0.1198          0.1194
2017-05-30T17:06          0.2000          0.1209          0.1212          0.1209
2017-06-03T05:26          0.2000          0.1028          0.1052          0.1029
2017-06-03T10:10          0.2000          0.0724          0.1092          0.0753
2017-06-04T05:17          0.2000          0.1098          0.1125          0.1099
2017-06-05T17:06          0.2000          0.1216          0.1219          0.1216
2017-06-09T05:26          0.2000          0.1131          0.1131          0.1131
2017-06-10T05:17          0.2000          0.1217          0.1218          0.1217
2017-06-11T17:06          0.2000          0.1180          0.1190          0.1181
2017-06-13T10:10          0.2000          0.0791          0.1262          0.0825
2017-06-15T05:26          0.2000          0.1090          0.1098          0.1090
2017-06-16T05:17          0.2000          0.1215          0.1216          0.1215
2017-06-17T17:06          0.2000          0.1230          0.1230          0.1230
2017-06-21T05:26          0.2000          0.1122          0.1122          0.1122
2017-06-22T05:17          0.2000          0.1223          0.1224          0.1223
2017-06-23T17:06          0.2000          0.1171          0.1183          0.1171
2017-06-26T10:20          0.2000          0.0841          0.1171          0.0869
2017-06-27T05:26          0.2000          0.1003          0.1025          0.1004
2017-06-28T05:17          0.2000          0.1200          0.1204          0.1200
2017-06-29T17:06          0.2000          0.1228          0.1228          0.1228
2017-07-03T05:26          0.2000          0.1131          0.1132          0.1131
2017-07-04T05:17          0.2000          0.1211          0.1214          0.1211
2017-07-05T17:06          0.2000          0.1081          0.1105          0.1082
2017-07-06T10:20          0.2000          0.0838          0.1178          0.0868
2017-07-08T10:10          0.2000          0.0748          0.0758          0.0748
2017-07-09T05:26          0.2000          0.1013          0.1014          0.1013
2017-07-10T05:17          0.2000          0.1192          0.1192          0.1192
2017-07-11T17:06          0.2000          0.1228          0.1228          0.1228
2017-07-15T05:26          0.2000          0.1128          0.1128          0.1128
2017-07-16T05:17          0.2000          0.1207          0.1207          0.1207
2017-07-17T17:06          0.2000          0.1085          0.1085          0.1085
2017-07-18T10:10          0.2000          0.0738          0.0738          0.0738
2017-07-21T05:26          0.2000          0.1006          0.1007          0.1006
2017-07-21T10:20          0.2000          0.0775          0.0775          0.0775
2017-07-22T05:17          0.2000          0.1106          0.1106          0.1106
2017-07-23T17:06          0.2000          0.1217          0.1217          0.1217
2017-07-27T05:26          0.2000          0.1138          0.1138          0.1138
2017-07-28T05:17          0.2000          0.1266          0.1266          0.1266
2017-07-29T17:06          0.2000          0.1454          0.1454          0.1454
