date                 prior      s1s2   only-s1   only-s2     noobs
2017-05-01T16:58    0.2000    0.1344    0.1344    0.1870    0.1870
2017-05-04T05:26    0.2000    0.1183    0.1184    0.1608    0.1608
2017-05-05T05:17    0.2000    0.1246    0.1247    0.1606    0.1606
2017-05-06T17:06    0.2000    0.1241    0.1241    0.1762    0.1762
2017-05-10T05:26    0.2000    0.1140    0.1141    0.1589    0.1589
2017-05-10T12:00    0.2000    0.1424    0.1424    0.1470    0.1470
2017-05-11T05:17    0.2000    0.1221    0.1222    0.1470    0.1470
2017-05-11T12:00    0.2000    0.1561    0.1561    0.1588    0.1588
2017-05-12T12:00    0.2000    0.1560    0.1560    0.1587    0.1587
2017-05-12T17:06    0.2000    0.1208    0.1209    0.1469    0.1469
2017-05-13T12:00    0.2000    0.1423    0.1423    0.1458    0.1458
2017-05-13T16:58    0.2000    0.1130    0.1132    0.1469    0.1469
2017-05-14T12:00    0.2000    0.1552    0.1552    0.1587    0.1587
2017-05-15T12:00    0.2000    0.1553    0.1554    0.1587    0.1587
2017-05-16T05:26    0.2000    0.1135    0.1147    0.1469    0.1469
2017-05-16T12:00    0.2000    0.1411    0.1426    0.1453    0.1457
2017-05-17T05:17    0.2000    0.1089    0.1232    0.1410    0.1457
2017-05-17T10:20    0.2000    0.0807    0.1449    0.0854    0.1469
2017-05-17T12:00    0.2000    0.1525    0.1585    0.1528    0.1587
2017-05-18T12:00    0.2000    0.1559    0.1562    0.1588    0.1589
2017-05-18T17:06    0.2000    0.1215    0.1235    0.1482    0.1482
2017-05-19T12:00    0.2000    0.1562    0.1564    0.1591    0.1591
2017-05-20T12:00    0.2000    0.1758    0.1758    0.1762    0.1762
2017-05-22T05:26    0.2000    0.1186    0.1193    0.1606    0.1606
2017-05-23T05:17    0.2000    0.1230    0.1250    0.1606    0.1606
2017-05-24T17:06    0.2000    0.1177    0.1276    0.1755    0.1762
2017-05-27T10:20    0.2000    0.0825    0.1553    0.0894    0.1591
2017-05-28T05:26    0.2000    0.1002    0.1119    0.1424    0.1483
2017-05-29T05:17    0.2000    0.1194    0.1227    0.1584    0.1591
2017-05-30T17:06    0.2000    0.1209    0.1235    0.1761    0.1762
2017-06-03T05:26    0.2000    0.1028    0.1147    0.1526    0.1591
2017-06-03T10:10    0.2000    0.0724    0.1425    0.0796    0.1483
2017-06-04T05:17    0.2000    0.1098    0.1226    0.1526    0.1591
2017-06-05T17:06    0.2000    0.1216    0.1239    0.1762    0.1762
2017-06-09T05:26    0.2000    0.1131    0.1139    0.1606    0.1606
2017-06-10T05:17    0.2000    0.1217    0.1235    0.1606    0.1606
2017-06-11T17:06    0.2000    0.1180    0.1271    0.1755    0.1765
2017-06-13T10:10    0.2000    0.0791    0.1756    0.0835    0.1765
2017-06-15T05:26    0.2000    0.1090    0.1173    0.1598    0.1606
2017-06-16T05:17    0.2000    0.1215    0.1240    0.1605    0.1606
2017-06-17T17:06    0.2000    0.1230    0.1236    0.1763    0.1763
2017-06-21T05:26    0.2000    0.1122    0.1128    0.1606    0.1606
2017-06-22T05:17    0.2000    0.1223    0.1242    0.1606    0.1606
2017-06-23T17:06    0.2000    0.1171    0.1269    0.1755    0.1762
2017-06-26T10:20    0.2000    0.0841    0.1553    0.0911    0.1591
2017-06-27T05:26    0.2000    0.1003    0.1121    0.1426    0.1483
2017-06-28T05:17    0.2000    0.1200    0.1231    0.1584    0.1591
2017-06-29T17:06    0.2000    0.1228    0.1235    0.1762    0.1762
2017-07-03T05:26    0.2000    0.1131    0.1139    0.1606    0.1606
2017-07-04T05:17    0.2000    0.1211    0.1235    0.1604    0.1605
2017-07-05T17:06    0.2000    0.1081    0.1226    0.1532    0.1604
2017-07-06T10:20    0.2000    0.0838    0.1562    0.0894    0.1604
2017-07-08T10:10    0.2000    0.0748    0.1553    0.0789    0.1589
2017-07-09T05:26    0.2000    0.1013    0.1142    0.1418    0.1482
2017-07-10T05:17    0.2000    0.1192    0.1226    0.1583    0.1591
2017-07-11T17:06    0.2000    0.1228    0.1236    0.1762    0.1762
2017-07-15T05:26    0.2000    0.1128    0.1135    0.1606    0.1606
2017-07-16T05:17    0.2000    0.1207    0.1228    0.1604    0.1605
2017-07-17T17:06    0.2000    0.1085    0.1211    0.1524    0.1604
2017-07-18T10:10    0.2000    0.0738    0.1562    0.0795    0.1604
2017-07-21T05:26    0.2000    0.1006    0.1184    0.1525    0.1589
2017-07-21T10:20    0.2000    0.0775    0.1430    0.0859    0.1482
2017-07-22T05:17    0.2000    0.1106    0.1242    0.1530    0.1591
2017-07-23T17:06    0.2000    0.1217    0.1241    0.1762    0.1762
2017-07-27T05:26    0.2000    0.1138    0.1144    0.1606    0.1606
2017-07-28T05:17    0.2000    0.1266    0.1269    0.1608    0.1608
2017-07-29T17:06    0.2000    0.1454    0.1456    0.1870    0.1870
