date                        s1s2   S2A-no-visnir    S2A-no-swnir
2017-05-01T16:58         32.8229         32.8225         32.8229
2017-05-04T05:26         40.8437         40.8432         40.8437
2017-05-05T05:17         37.6760         37.6755         37.6760
2017-05-06T17:06         37.9746         37.9740         37.9746
2017-05-10T05:26         43.0111         43.0104         43.0110
2017-05-10T12:00         28.8050         28.8048         28.8050
2017-05-11T05:17         38.9716         38.9705         38.9716
2017-05-11T12:00         21.9443         21.9441         21.9443
2017-05-12T12:00         22.0082         22.0080         22.0082
2017-05-12T17:06         39.6162         39.6143         39.6161
2017-05-13T12:00         28.8732         28.8726         28.8731
2017-05-13T16:58         43.4995         43.4968         43.4994
2017-05-14T12:00         22.3900         22.3897         22.3899
2017-05-15T12:00         22.3675         22.3649         22.3673
2017-05-16T05:26         43.2583         43.2304         43.2562
2017-05-16T12:00         29.4510         29.3489         29.4468
2017-05-17T05:17         45.5437         44.2657         45.4969
2017-05-17T10:20         59.6546         43.4378         58.2381
2017-05-17T12:00         23.7700         22.4521         23.6718
2017-05-18T12:00         22.0637         22.0452         22.0626
2017-05-18T17:06         39.2379         39.2064         39.2371
2017-05-19T12:00         21.9150         21.9118         21.9149
2017-05-20T12:00         12.1180         12.1179         12.1180
2017-05-22T05:26         40.7247         40.7168         40.7243
2017-05-23T05:17         38.5196         38.4709         38.5182
2017-05-24T17:06         41.1437         40.5493         41.1340
2017-05-27T10:20         58.7361         41.4627         57.2729
2017-05-28T05:26         49.8785         48.7655         49.8409
2017-05-29T05:17         40.3113         40.1012         40.3023
2017-05-30T17:06         39.5487         39.3912         39.5413
2017-06-03T05:26         48.5981         47.3921         48.5551
2017-06-03T10:10         63.7960         45.3927         62.3668
2017-06-04T05:17         45.0983         43.7518         45.0482
2017-06-05T17:06         39.1987         39.0616         39.1921
2017-06-09T05:26         43.4744         43.4569         43.4732
2017-06-10T05:17         39.1545         39.1118         39.1533
2017-06-11T17:06         40.9751         40.5239         40.9686
2017-06-13T10:10         60.4702         36.8785         58.7588
2017-06-15T05:26         45.5124         45.1145         45.5068
2017-06-16T05:17         39.2742         39.2049         39.2728
2017-06-17T17:06         38.5119         38.5048         38.5116
2017-06-21T05:26         43.9027         43.8960         43.9024
2017-06-22T05:17         38.8300         38.7786         38.8287
2017-06-23T17:06         41.4658         40.8544         41.4561
2017-06-26T10:20         57.9543         41.4569         56.5398
2017-06-27T05:26         49.8578         48.7579         49.8209
2017-06-28T05:17         40.0009         39.8118         39.9929
2017-06-29T17:06         38.6102         38.5920         38.6087
2017-07-03T05:26         43.4363         43.4193         43.4348
2017-07-04T05:17         39.4345         39.3241         39.4288
2017-07-05T17:06         45.9688         44.7624         45.9243
2017-07-06T10:20         58.0885         41.0835         56.6237
2017-07-08T10:10         62.5935         62.1184         62.5905
2017-07-09T05:26         49.3369         49.2885         49.3364
2017-07-10T05:17         40.4037         40.3944         40.4036
2017-07-11T17:06         38.5865         38.5837         38.5864
2017-07-15T05:26         43.6019         43.5989         43.6018
2017-07-16T05:17         39.6639         39.6594         39.6637
2017-07-17T17:06         45.7549         45.7443         45.7545
2017-07-18T10:10         63.1027         63.0967         63.1025
2017-07-21T05:26         49.6860         49.6640         49.6852
2017-07-21T10:20         61.2569         61.2489         61.2566
2017-07-22T05:17         44.7175         44.7062         44.7171
2017-07-23T17:06         39.1393         39.1355         39.1392
2017-07-27T05:26         43.0840         43.0821         43.0839
2017-07-28T05:17         36.6953         36.6939         36.6952
2017-07-29T17:06         27.2921         27.2911         27.2920
