date                               s1s2   S2B-no-S2A-no-visnir    S2B-no-S2A-no-swnir
2017-05-01T16:58                32.8229                32.8192                32.8197
2017-05-04T05:26                40.8437                40.8392                40.8399
2017-05-05T05:17                37.6760                37.6710                37.6717
2017-05-06T17:06                37.9746                37.9693                37.9701
2017-05-10T05:26                43.0111                43.0050                43.0059
2017-05-10T12:00                28.8050                28.8031                28.8034
2017-05-11T05:17                38.9716                38.9628                38.9642
2017-05-11T12:00                21.9443                21.9432                21.9434
2017-05-12T12:00                22.0082                22.0068                22.0071
2017-05-12T17:06                39.6162                39.6045                39.6067
2017-05-13T12:00                28.8732                28.8697                28.8704
2017-05-13T16:58                43.4995                43.4845                43.4877
2017-05-14T12:00                22.3900                22.3882                22.3885
2017-05-15T12:00                22.3675                22.3621                22.3646
2017-05-16T05:26                43.2583                43.2041                43.2306
2017-05-16T12:00                29.4510                29.3349                29.4330
2017-05-17T05:17                45.5437                44.1689                45.3983
2017-05-17T10:20                59.6546                43.4185                58.2161
2017-05-17T12:00                23.7700                22.4497                23.6697
2017-05-18T12:00                22.0637                22.0399                22.0575
2017-05-18T17:06                39.2379                39.1588                39.1904
2017-05-19T12:00                21.9150                21.9068                21.9100
2017-05-20T12:00                12.1180                12.1172                12.1174
2017-05-22T05:26                40.7247                40.6850                40.6930
2017-05-23T05:17                38.5196                38.4300                38.4771
2017-05-24T17:06                41.1437                40.4583                41.0374
2017-05-27T10:20                58.7361                41.4265                57.2234
2017-05-28T05:26                49.8785                48.6766                49.7461
2017-05-29T05:17                40.3113                40.0487                40.2487
2017-05-30T17:06                39.5487                39.3440                39.4939
2017-06-03T05:26                48.5981                47.3072                48.4670
2017-06-03T10:10                63.7960                45.3537                62.3158
2017-06-04T05:17                45.0983                43.6678                44.9612
2017-06-05T17:06                39.1987                39.0240                39.1546
2017-06-09T05:26                43.4744                43.4279                43.4446
2017-06-10T05:17                39.1545                39.0722                39.1136
2017-06-11T17:06                40.9751                40.4351                40.8762
2017-06-13T10:10                60.4702                36.8558                58.7232
2017-06-15T05:26                45.5124                45.0327                45.4217
2017-06-16T05:17                39.2742                39.1628                39.2304
2017-06-17T17:06                38.5119                38.4801                38.4872
2017-06-21T05:26                43.9027                43.8725                43.8792
2017-06-22T05:17                38.8300                38.7419                38.7916
2017-06-23T17:06                41.4658                40.7628                41.3593
2017-06-26T10:20                57.9543                41.4200                56.4915
2017-06-27T05:26                49.8578                48.6734                49.7309
2017-06-28T05:17                40.0009                39.7707                39.9509
2017-06-29T17:06                38.6102                38.5683                38.5853
2017-07-03T05:26                43.4363                43.3951                43.4123
2017-07-04T05:17                39.4345                39.2749                39.3909
2017-07-05T17:06                45.9688                44.5078                45.7941
2017-07-06T10:20                58.0885                40.9383                56.1863
2017-07-08T10:10                62.5935                22.7374                22.8603
2017-07-09T05:26                49.3369                44.4699                44.5729
2017-07-10T05:17                40.4037                39.1942                39.2105
2017-07-11T17:06                38.5865                38.3227                38.3253
2017-07-15T05:26                43.6019                43.3031                43.3052
2017-07-16T05:17                39.6639                38.6358                38.6379
2017-07-17T17:06                45.7549                39.4694                39.4711
2017-07-18T10:10                63.1027                21.9296                21.9298
2017-07-21T05:26                49.6860                40.8356                40.8370
2017-07-21T10:20                61.2569                28.5108                28.5111
2017-07-22T05:17                44.7175                37.9466                37.9476
2017-07-23T17:06                39.1393                37.9801                37.9809
2017-07-27T05:26                43.0840                42.8235                42.8242
2017-07-28T05:17                36.6953                36.5727                36.5733
2017-07-29T17:06                27.2921                27.2319                27.2324
