date                 s1s2   no-S1A   no-S1B   no-S2A   no-S2B
2017-05-01T16:58  32.8229   6.6881  29.4873  32.8106  32.8198
2017-05-04T05:26  40.8437  32.6020  21.4368  40.8290  40.8399
2017-05-05T05:17  37.6760  21.2336  36.9019  37.6597  37.6718
2017-05-06T17:06  37.9746  11.8972  37.4082  37.9577  37.9701
2017-05-10T05:26  43.0111  20.6477  41.2084  42.9924  43.0060
2017-05-10T12:00  28.8050  27.4778  28.3456  28.7993  28.8034
2017-05-11T05:17  38.9716  37.4818  26.6697  38.9463  38.9642
2017-05-11T12:00  21.9443  21.7816  20.6444  21.9412  21.9434
2017-05-12T12:00  22.0082  21.8617  20.6440  22.0047  22.0071
2017-05-12T17:06  39.6162  38.2724  26.6667  39.5864  39.6067
2017-05-13T12:00  28.8732  28.1089  28.3143  28.8634  28.8704
2017-05-13T16:58  43.4995  26.6452  40.8066  43.4470  43.4878
2017-05-14T12:00  22.3900  20.6534  22.1753  22.3825  22.3886
2017-05-15T12:00  22.3675  22.2485  20.6591  22.3136  22.3648
2017-05-16T05:26  43.2583  41.5670  26.6927  42.7097  43.2328
2017-05-16T12:00  29.4510  28.6758  28.6015  28.7227  29.4372
2017-05-17T05:17  45.5437  29.6435  44.6312  38.4617  45.4453
2017-05-17T10:20  59.6546  57.4397  59.6072  27.5570  59.6326
2017-05-17T12:00  23.7700  23.5900  23.7656  20.7465  23.7680
2017-05-18T12:00  22.0637  20.5794  22.0489  21.9132  22.0586
2017-05-18T17:06  39.2379  25.8851  39.0999  38.2956  39.1912
2017-05-19T12:00  21.9150  20.4600  21.8985  21.8183  21.9100
2017-05-20T12:00  12.1180  11.9033  12.0981  12.1116  12.1174
2017-05-22T05:26  40.7247  21.6895  39.0934  40.3670  40.6935
2017-05-23T05:17  38.5196  36.8265  21.9319  37.5433  38.4785
2017-05-24T17:06  41.1437  40.4970  12.2890  36.2230  41.0472
2017-05-27T10:20  58.7361  58.5643  55.9519  22.3359  58.6865
2017-05-28T05:26  49.8785  48.0805  30.6495  44.0554  49.7839
2017-05-29T05:17  40.3113  22.7662  39.6317  38.6722  40.2580
2017-05-30T17:06  39.5487  11.9627  39.3234  38.2481  39.5015
2017-06-03T05:26  48.5981  23.8358  48.2390  42.6618  48.5103
2017-06-03T10:10  63.7960  62.2408  62.2551  28.7543  63.7448
2017-06-04T05:17  45.0983  44.5464  23.8371  38.7262  45.0116
2017-06-05T17:06  39.1987  38.7102  11.9499  38.0829  39.1613
2017-06-09T05:26  43.4744  41.9584  21.7563  43.0512  43.4458
2017-06-10T05:17  39.1545  22.2142  37.4593  38.2504  39.1149
2017-06-11T17:06  40.9751  12.3123  40.5123  36.4878  40.8827
2017-06-13T10:10  60.4702  58.6732  60.4248  12.2022  60.4341
2017-06-15T05:26  45.5124  22.3212  43.7763  41.3587  45.4273
2017-06-16T05:17  39.2742  38.5988  22.3714  38.0276  39.2318
2017-06-17T17:06  38.5119  38.0084  11.9222  38.1997  38.4875
2017-06-21T05:26  43.9027  42.3762  21.7144  43.6066  43.8795
2017-06-22T05:17  38.8300  22.2542  37.1201  37.9172  38.7930
2017-06-23T17:06  41.4658  12.2862  41.0406  36.5767  41.3691
2017-06-26T10:20  57.9543  55.0538  57.8721  22.3338  57.9059
2017-06-27T05:26  49.8578  30.5622  48.3973  43.9741  49.7681
2017-06-28T05:17  40.0009  39.1903  22.7880  38.4689  39.9591
2017-06-29T17:06  38.6102  38.0762  11.9296  38.2860  38.5868
2017-07-03T05:26  43.4363  41.8217  21.7863  43.1681  43.4138
2017-07-04T05:17  39.4345  22.3208  37.8082  38.5567  39.3967
2017-07-05T17:06  45.9688  23.4801  45.5941  40.2425  45.8394
2017-07-06T10:20  58.0885  55.4827  58.0295  22.4720  57.6229
2017-07-08T10:10  62.5935  60.9564  62.5519  61.8857  22.8680
2017-07-09T05:26  49.3369  30.8643  47.9076  48.9120  44.5749
2017-07-10T05:17  40.4037  39.5373  22.7455  40.2269  39.2110
2017-07-11T17:06  38.5865  38.0345  11.9294  38.4918  38.3254
2017-07-15T05:26  43.6019  41.9673  21.8087  43.5142  43.3052
2017-07-16T05:17  39.6639  22.3359  38.0265  39.5321  38.6379
2017-07-17T17:06  45.7549  23.8294  45.3880  45.4241  39.4712
2017-07-18T10:10  63.1027  60.4433  63.0403  62.9308  21.9298
2017-07-21T05:26  49.6860  23.9027  49.2189  48.9914  40.8370
2017-07-21T10:20  61.2569  59.3794  59.5403  61.0096  28.5111
2017-07-22T05:17  44.7175  44.1479  23.6571  44.3654  37.9477
2017-07-23T17:06  39.1393  38.2309  11.9439  39.0218  37.9810
2017-07-27T05:26  43.0840  39.2754  21.4824  43.0269  42.8242
2017-07-28T05:17  36.6953  21.8826  34.8572  36.6513  36.5734
2017-07-29T17:06  27.2921   6.5292  26.7678  27.2616  27.2325
