date                  s1s2   only-s1   only-s2     noobs
2017-05-01T16:58   32.8229   32.7973    6.4928    6.4928
2017-05-04T05:26   40.8437   40.8129   19.6227   19.6227
2017-05-05T05:17   37.6760   37.6417   19.6778   19.6778
2017-05-06T17:06   37.9746   37.9389   11.8770   11.8770
2017-05-10T05:26   43.0111   42.9713   20.5313   20.5313
2017-05-10T12:00   28.8050   28.7927   26.4819   26.4819
2017-05-11T05:17   38.9716   38.9168   26.4904   26.4904
2017-05-11T12:00   21.9443   21.9377   20.6231   20.6231
2017-05-12T12:00   22.0082   22.0008   20.6299   20.6299
2017-05-12T17:06   39.6162   39.5532   26.5481   26.5481
2017-05-13T12:00   28.8732   28.8548   27.0766   27.0766
2017-05-13T16:58   43.4995   43.4134   26.5481   26.5481
2017-05-14T12:00   22.3900   22.3787   20.6300   20.6300
2017-05-15T12:00   22.3675   22.3097   20.6332   20.6306
2017-05-16T05:26   43.2583   42.6746   26.5747   26.5535
2017-05-16T12:00   29.4510   28.7129   27.3514   27.1321
2017-05-17T05:17   45.5437   38.4221   29.4838   27.1321
2017-05-17T10:20   59.6546   27.5535   57.3141   26.5534
2017-05-17T12:00   23.7700   20.7458   23.5809   20.6299
2017-05-18T12:00   22.0637   21.9085   20.5793   20.5504
2017-05-18T17:06   39.2379   38.2515   25.8851   25.8820
2017-05-19T12:00   21.9150   21.8135   20.4597   20.4593
2017-05-20T12:00   12.1180   12.1109   11.8762   11.8762
2017-05-22T05:26   40.7247   40.3349   19.6865   19.6859
2017-05-23T05:17   38.5196   37.5159   19.6901   19.6859
2017-05-24T17:06   41.1437   36.1975   12.2470   11.8762
2017-05-27T10:20   58.7361   22.3328   55.3149   20.4582
2017-05-28T05:26   49.8785   44.0353   28.7759   25.8724
2017-05-29T05:17   40.3113   38.6526   20.8020   20.4583
2017-05-30T17:06   39.5487   38.2295   11.9341   11.8867
2017-06-03T05:26   48.5981   42.6425   23.6995   20.4583
2017-06-03T10:10   63.7960   28.7491   60.1798   25.8724
2017-06-04T05:17   45.0983   38.7062   23.6997   20.4582
2017-06-05T17:06   39.1987   38.0649   11.9193   11.8762
2017-06-09T05:26   43.4744   43.0343   19.6870   19.6857
2017-06-10T05:17   39.1545   38.2316   19.6904   19.6845
2017-06-11T17:06   40.9751   36.4667   12.2686   11.7514
2017-06-13T10:10   60.4702   12.2014   58.2257   11.7514
2017-06-15T05:26   45.5124   41.3388   20.0762   19.6845
2017-06-16T05:17   39.2742   38.0093   19.7361   19.6856
2017-06-17T17:06   38.5119   38.1839   11.8663   11.8656
2017-06-21T05:26   43.9027   43.5925   19.6863   19.6858
2017-06-22T05:17   38.8300   37.9019   19.6901   19.6859
2017-06-23T17:06   41.4658   36.5608   12.2401   11.8762
2017-06-26T10:20   57.9543   22.3318   54.4277   20.4582
2017-06-27T05:26   49.8578   43.9608   28.7214   25.8724
2017-06-28T05:17   40.0009   38.4528   20.7954   20.4582
2017-06-29T17:06   38.6102   38.2541   11.8809   11.8763
2017-07-03T05:26   43.4363   43.0707   19.7019   19.6971
2017-07-04T05:17   39.4345   38.2388   19.8090   19.7721
2017-07-05T17:06   45.9688   38.6831   23.4248   19.7840
2017-07-06T10:20   58.0885   21.9187   55.2847   19.7910
2017-07-08T10:10   62.5935   22.3281   60.5401   20.5419
2017-07-09T05:26   49.3369   42.9085   29.0777   25.8812
2017-07-10T05:17   40.4037   38.6811   20.8367   20.4592
2017-07-11T17:06   38.5865   38.1890   11.8815   11.8763
2017-07-15T05:26   43.6019   43.2537   19.7023   19.6971
2017-07-16T05:17   39.6639   38.6002   19.8125   19.7721
2017-07-17T17:06   45.7549   39.4384   23.7790   19.7840
2017-07-18T10:10   63.1027   21.9247   60.2622   19.7910
2017-07-21T05:26   49.6860   40.7985   23.7256   20.5419
2017-07-21T10:20   61.2569   28.5014   57.0634   25.8812
2017-07-22T05:17   44.7175   37.9136   23.4816   20.4592
2017-07-23T17:06   39.1393   37.9518   11.9164   11.8761
2017-07-27T05:26   43.0840   42.7980   19.6782   19.6778
2017-07-28T05:17   36.6953   36.5463   19.6228   19.6227
2017-07-29T17:06   27.2921   27.2099    6.4928    6.4928
