#
#       i          Prior Sigma          Post Sigma       Unc. Red. [%]
#
        1         0.100000E+00        0.286187E-01            71.38134
        2         0.100000E+00        0.294306E-01            70.56942
        3         0.500000E+01        0.132909E+01            73.41827
        4         0.200000E+01        0.111873E+01            44.06335
        5         0.200000E+00        0.134362E+00            32.81919
        6         0.500000E+01        0.118120E+01            76.37609
        7         0.200000E+01        0.984054E+00            50.79728
        8         0.200000E+00        0.118322E+00            40.83924
        9         0.500000E+01        0.110238E+01            77.95248
       10         0.200000E+01        0.924147E+00            53.79267
       11         0.200000E+00        0.124658E+00            37.67102
       12         0.500000E+01        0.107876E+01            78.42488
       13         0.200000E+01        0.905603E+00            54.71986
       14         0.200000E+00        0.124061E+00            37.96932
       15         0.500000E+01        0.107257E+01            78.54852
       16         0.200000E+01        0.893235E+00            55.33823
       17         0.200000E+00        0.113990E+00            43.00504
       18         0.500000E+01        0.114798E+01            77.04038
       19         0.200000E+01        0.935622E+00            53.21890
       20         0.200000E+00        0.142394E+00            28.80308
       21         0.500000E+01        0.105385E+01            78.92291
       22         0.200000E+01        0.873422E+00            56.32889
       23         0.200000E+00        0.122074E+00            38.96282
       24         0.500000E+01        0.118211E+01            76.35771
       25         0.200000E+01        0.942320E+00            52.88398
       26         0.200000E+00        0.156114E+00            21.94319
       27         0.500000E+01        0.118204E+01            76.35916
       28         0.200000E+01        0.942226E+00            52.88872
       29         0.200000E+00        0.155986E+00            22.00681
       30         0.500000E+01        0.105360E+01            78.92804
       31         0.200000E+01        0.873006E+00            56.34969
       32         0.200000E+00        0.120791E+00            39.60449
       33         0.500000E+01        0.114179E+01            77.16429
       34         0.200000E+01        0.930145E+00            53.49273
       35         0.200000E+00        0.142261E+00            28.86974
       36         0.500000E+01        0.106105E+01            78.77898
       37         0.200000E+01        0.877556E+00            56.12218
       38         0.200000E+00        0.113031E+00            43.48454
       39         0.500000E+01        0.117192E+01            76.56156
       40         0.200000E+01        0.941236E+00            52.93822
       41         0.200000E+00        0.155224E+00            22.38822
       42         0.500000E+01        0.115540E+01            76.89209
       43         0.200000E+01        0.937717E+00            53.11413
       44         0.200000E+00        0.155276E+00            22.36213
       45         0.500000E+01        0.100211E+01            79.95778
       46         0.200000E+01        0.862119E+00            56.89404
       47         0.200000E+00        0.113592E+00            43.20408
       48         0.500000E+01        0.101375E+01            79.72498
       49         0.200000E+01        0.902728E+00            54.86360
       50         0.200000E+00        0.141330E+00            29.33489
       51         0.500000E+01        0.775081E+00            84.49838
       52         0.200000E+01        0.801679E+00            59.91605
       53         0.200000E+00        0.111662E+00            44.16889
       54         0.500000E+01        0.166684E+00            96.66632
       55         0.200000E+01        0.878783E+00            56.06085
       56         0.200000E+00        0.113163E+00            43.41850
       57         0.500000E+01        0.870562E+00            82.58875
       58         0.200000E+01        0.935826E+00            53.20871
       59         0.200000E+00        0.155101E+00            22.44974
       60         0.500000E+01        0.102534E+01            79.49316
       61         0.200000E+01        0.931018E+00            53.44911
       62         0.200000E+00        0.155920E+00            22.03988
       63         0.500000E+01        0.977520E+00            80.44960
       64         0.200000E+01        0.857785E+00            57.11077
       65         0.200000E+00        0.121682E+00            39.15883
       66         0.500000E+01        0.112919E+01            77.41614
       67         0.200000E+01        0.935253E+00            53.23735
       68         0.200000E+00        0.156186E+00            21.90678
       69         0.500000E+01        0.113459E+01            77.30823
       70         0.200000E+01        0.937644E+00            53.11779
       71         0.200000E+00        0.175766E+00            12.11723
       72         0.500000E+01        0.997075E+00            80.05850
       73         0.200000E+01        0.868326E+00            56.58372
       74         0.200000E+00        0.118630E+00            40.68501
       75         0.500000E+01        0.917785E+00            81.64430
       76         0.200000E+01        0.843422E+00            57.82888
       77         0.200000E+00        0.123140E+00            38.43003
       78         0.500000E+01        0.781514E+00            84.36971
       79         0.200000E+01        0.826244E+00            58.68780
       80         0.200000E+00        0.119083E+00            40.45831
       81         0.500000E+01        0.170367E+00            96.59266
       82         0.200000E+01        0.852181E+00            57.39094
       83         0.200000E+00        0.117147E+00            41.42647
       84         0.500000E+01        0.763013E+00            84.73973
       85         0.200000E+01        0.809894E+00            59.50530
       86         0.200000E+00        0.102647E+00            48.67659
       87         0.500000E+01        0.868755E+00            82.62489
       88         0.200000E+01        0.832946E+00            58.35271
       89         0.200000E+00        0.119903E+00            40.04866
       90         0.500000E+01        0.880133E+00            82.39733
       91         0.200000E+01        0.841344E+00            57.93279
       92         0.200000E+00        0.121312E+00            39.34403
       93         0.500000E+01        0.761887E+00            84.76226
       94         0.200000E+01        0.819456E+00            59.02720
       95         0.200000E+00        0.105386E+00            47.30715
       96         0.500000E+01        0.162582E+00            96.74836
       97         0.200000E+01        0.861936E+00            56.90318
       98         0.200000E+00        0.109293E+00            45.35366
       99         0.500000E+01        0.761835E+00            84.76330
      100         0.200000E+01        0.813212E+00            59.33939
      101         0.200000E+00        0.112664E+00            43.66778
      102         0.500000E+01        0.900537E+00            81.98927
      103         0.200000E+01        0.847068E+00            57.64658
      104         0.200000E+00        0.121952E+00            39.02395
      105         0.500000E+01        0.933502E+00            81.32996
      106         0.200000E+01        0.855973E+00            57.20134
      107         0.200000E+00        0.113144E+00            43.42791
      108         0.500000E+01        0.893526E+00            82.12947
      109         0.200000E+01        0.840998E+00            57.95008
      110         0.200000E+00        0.121856E+00            39.07219
      111         0.500000E+01        0.774244E+00            84.51511
      112         0.200000E+01        0.830744E+00            58.46280
      113         0.200000E+00        0.119130E+00            40.43513
      114         0.500000E+01        0.167809E+00            96.64383
      115         0.200000E+01        0.876803E+00            56.15984
      116         0.200000E+00        0.126288E+00            36.85580
      117         0.500000E+01        0.779317E+00            84.41366
      118         0.200000E+01        0.831673E+00            58.41636
      119         0.200000E+00        0.109935E+00            45.03265
      120         0.500000E+01        0.897419E+00            82.05162
      121         0.200000E+01        0.845295E+00            57.73525
      122         0.200000E+00        0.121674E+00            39.16276
      123         0.500000E+01        0.952757E+00            80.94486
      124         0.200000E+01        0.862429E+00            56.87854
      125         0.200000E+00        0.123040E+00            38.48010
      126         0.500000E+01        0.956513E+00            80.86973
      127         0.200000E+01        0.862644E+00            56.86778
      128         0.200000E+00        0.112255E+00            43.87249
      129         0.500000E+01        0.901805E+00            81.96389
      130         0.200000E+01        0.840578E+00            57.97112
      131         0.200000E+00        0.122516E+00            38.74185
      132         0.500000E+01        0.778454E+00            84.43091
      133         0.200000E+01        0.824924E+00            58.75379
      134         0.200000E+00        0.118474E+00            40.76283
      135         0.500000E+01        0.172630E+00            96.54739
      136         0.200000E+01        0.847666E+00            57.61670
      137         0.200000E+00        0.117160E+00            41.41999
      138         0.500000E+01        0.772523E+00            84.54955
      139         0.200000E+01        0.810127E+00            59.49364
      140         0.200000E+00        0.102653E+00            48.67335
      141         0.500000E+01        0.896556E+00            82.06887
      142         0.200000E+01        0.840028E+00            57.99858
      143         0.200000E+00        0.120459E+00            39.77066
      144         0.500000E+01        0.953671E+00            80.92658
      145         0.200000E+01        0.861100E+00            56.94501
      146         0.200000E+00        0.122863E+00            38.56833
      147         0.500000E+01        0.957315E+00            80.85369
      148         0.200000E+01        0.861296E+00            56.93521
      149         0.200000E+00        0.113210E+00            43.39507
      150         0.500000E+01        0.903940E+00            81.92120
      151         0.200000E+01        0.838853E+00            58.05735
      152         0.200000E+00        0.121450E+00            39.27490
      153         0.500000E+01        0.771477E+00            84.57046
      154         0.200000E+01        0.809789E+00            59.51057
      155         0.200000E+00        0.110984E+00            44.50782
      156         0.500000E+01        0.171735E+00            96.56530
      157         0.200000E+01        0.868717E+00            56.56414
      158         0.200000E+00        0.118123E+00            40.93833
      159         0.500000E+01        0.842121E+00            83.15759
      160         0.200000E+01        0.909547E+00            54.52264
      161         0.200000E+00        0.154525E+00            22.73744
