#
#       i          Prior Sigma          Post Sigma       Unc. Red. [%]
#
        1         0.100000E+00        0.321458E-01            67.85419
        2         0.100000E+00        0.334809E-01            66.51914
        3         0.500000E+01        0.158179E+01            68.36418
        4         0.200000E+01        0.119310E+01            40.34488
        5         0.200000E+00        0.186624E+00             6.68810
        6         0.500000E+01        0.129083E+01            74.18348
        7         0.200000E+01        0.987020E+00            50.64900
        8         0.200000E+00        0.134796E+00            32.60203
        9         0.500000E+01        0.135959E+01            72.80822
       10         0.200000E+01        0.987058E+00            50.64709
       11         0.200000E+00        0.157533E+00            21.23360
       12         0.500000E+01        0.137634E+01            72.47325
       13         0.200000E+01        0.984095E+00            50.79525
       14         0.200000E+00        0.176206E+00            11.89717
       15         0.500000E+01        0.134577E+01            73.08454
       16         0.200000E+01        0.974925E+00            51.25375
       17         0.200000E+00        0.158705E+00            20.64773
       18         0.500000E+01        0.125914E+01            74.81716
       19         0.200000E+01        0.949371E+00            52.53147
       20         0.200000E+00        0.145044E+00            27.47782
       21         0.500000E+01        0.108666E+01            78.26675
       22         0.200000E+01        0.876740E+00            56.16301
       23         0.200000E+00        0.125036E+00            37.48184
       24         0.500000E+01        0.120342E+01            75.93159
       25         0.200000E+01        0.944044E+00            52.79778
       26         0.200000E+00        0.156437E+00            21.78163
       27         0.500000E+01        0.120149E+01            75.97023
       28         0.200000E+01        0.943687E+00            52.81563
       29         0.200000E+00        0.156277E+00            21.86169
       30         0.500000E+01        0.107988E+01            78.40236
       31         0.200000E+01        0.875177E+00            56.24114
       32         0.200000E+00        0.123455E+00            38.27242
       33         0.500000E+01        0.123339E+01            75.33220
       34         0.200000E+01        0.946001E+00            52.69996
       35         0.200000E+00        0.143782E+00            28.10895
       36         0.500000E+01        0.129415E+01            74.11704
       37         0.200000E+01        0.967594E+00            51.62031
       38         0.200000E+00        0.146710E+00            26.64522
       39         0.500000E+01        0.128517E+01            74.29657
       40         0.200000E+01        0.966333E+00            51.68335
       41         0.200000E+00        0.158693E+00            20.65340
       42         0.500000E+01        0.120335E+01            75.93302
       43         0.200000E+01        0.940750E+00            52.96248
       44         0.200000E+00        0.155503E+00            22.24849
       45         0.500000E+01        0.101541E+01            79.69174
       46         0.200000E+01        0.859090E+00            57.04549
       47         0.200000E+00        0.116866E+00            41.56703
       48         0.500000E+01        0.103703E+01            79.25946
       49         0.200000E+01        0.921329E+00            53.93356
       50         0.200000E+00        0.142648E+00            28.67577
       51         0.500000E+01        0.866059E+00            82.67882
       52         0.200000E+01        0.907223E+00            54.63887
       53         0.200000E+00        0.140713E+00            29.64352
       54         0.500000E+01        0.488138E-01            99.02372
       55         0.200000E+01        0.795769E+00            60.21155
       56         0.200000E+00        0.851206E-01            57.43971
       57         0.500000E+01        0.896674E+00            82.06653
       58         0.200000E+01        0.918993E+00            54.05034
       59         0.200000E+00        0.152820E+00            23.58996
       60         0.500000E+01        0.114042E+01            77.19153
       61         0.200000E+01        0.960218E+00            51.98910
       62         0.200000E+00        0.158841E+00            20.57939
       63         0.500000E+01        0.125389E+01            74.92212
       64         0.200000E+01        0.973638E+00            51.31808
       65         0.200000E+00        0.148230E+00            25.88511
       66         0.500000E+01        0.128957E+01            74.20868
       67         0.200000E+01        0.974671E+00            51.26647
       68         0.200000E+00        0.159080E+00            20.46000
       69         0.500000E+01        0.125993E+01            74.80144
       70         0.200000E+01        0.964462E+00            51.77688
       71         0.200000E+00        0.176193E+00            11.90334
       72         0.500000E+01        0.115471E+01            76.90580
       73         0.200000E+01        0.931426E+00            53.42868
       74         0.200000E+00        0.156621E+00            21.68952
       75         0.500000E+01        0.927218E+00            81.45564
       76         0.200000E+01        0.833989E+00            58.30055
       77         0.200000E+00        0.126347E+00            36.82651
       78         0.500000E+01        0.773469E+00            84.53063
       79         0.200000E+01        0.791175E+00            60.44126
       80         0.200000E+00        0.119006E+00            40.49704
       81         0.500000E+01        0.492099E-01            99.01580
