#
#       i          Prior Sigma          Post Sigma       Unc. Red. [%]
#
        1         0.100000E+00        0.291879E-01            70.81207
        2         0.100000E+00        0.305247E-01            69.47528
        3         0.500000E+01        0.136194E+01            72.76125
        4         0.200000E+01        0.112208E+01            43.89579
        5         0.200000E+00        0.141025E+00            29.48730
        6         0.500000E+01        0.129000E+01            74.20007
        7         0.200000E+01        0.102844E+01            48.57784
        8         0.200000E+00        0.157126E+00            21.43680
        9         0.500000E+01        0.111554E+01            77.68922
       10         0.200000E+01        0.927417E+00            53.62915
       11         0.200000E+00        0.126196E+00            36.90190
       12         0.500000E+01        0.109104E+01            78.17919
       13         0.200000E+01        0.909106E+00            54.54472
       14         0.200000E+00        0.125184E+00            37.40823
       15         0.500000E+01        0.110038E+01            77.99238
       16         0.200000E+01        0.895267E+00            55.23665
       17         0.200000E+00        0.117583E+00            41.20835
       18         0.500000E+01        0.126665E+01            74.66704
       19         0.200000E+01        0.952993E+00            52.35033
       20         0.200000E+00        0.143309E+00            28.34563
       21         0.500000E+01        0.135497E+01            72.90050
       22         0.200000E+01        0.973180E+00            51.34100
       23         0.200000E+00        0.146661E+00            26.66968
       24         0.500000E+01        0.139389E+01            72.12215
       25         0.200000E+01        0.979523E+00            51.02384
       26         0.200000E+00        0.158711E+00            20.64436
       27         0.500000E+01        0.139378E+01            72.12439
       28         0.200000E+01        0.979038E+00            51.04808
       29         0.200000E+00        0.158712E+00            20.64401
       30         0.500000E+01        0.135461E+01            72.90780
       31         0.200000E+01        0.971196E+00            51.44022
       32         0.200000E+00        0.146667E+00            26.66670
       33         0.500000E+01        0.126593E+01            74.68144
       34         0.200000E+01        0.947274E+00            52.63628
       35         0.200000E+00        0.143371E+00            28.31433
       36         0.500000E+01        0.109904E+01            78.01924
       37         0.200000E+01        0.878681E+00            56.06596
       38         0.200000E+00        0.118387E+00            40.80659
       39         0.500000E+01        0.122640E+01            75.47196
       40         0.200000E+01        0.945436E+00            52.72822
       41         0.200000E+00        0.155649E+00            22.17529
       42         0.500000E+01        0.126198E+01            74.76050
       43         0.200000E+01        0.963277E+00            51.83614
       44         0.200000E+00        0.158682E+00            20.65905
       45         0.500000E+01        0.121973E+01            75.60533
       46         0.200000E+01        0.954163E+00            52.29185
       47         0.200000E+00        0.146615E+00            26.69271
       48         0.500000E+01        0.108288E+01            78.34243
       49         0.200000E+01        0.907112E+00            54.64441
       50         0.200000E+00        0.142797E+00            28.60147
       51         0.500000E+01        0.772195E+00            84.55609
       52         0.200000E+01        0.756392E+00            62.18041
       53         0.200000E+00        0.110738E+00            44.63121
       54         0.500000E+01        0.487690E-01            99.02462
       55         0.200000E+01        0.745464E+00            62.72679
       56         0.200000E+00        0.807857E-01            59.60716
       57         0.500000E+01        0.861307E+00            82.77386
       58         0.200000E+01        0.892657E+00            55.36715
       59         0.200000E+00        0.152469E+00            23.76564
       60         0.500000E+01        0.102054E+01            79.58921
       61         0.200000E+01        0.915889E+00            54.20555
       62         0.200000E+00        0.155902E+00            22.04890
       63         0.500000E+01        0.974555E+00            80.50891
       64         0.200000E+01        0.852296E+00            57.38521
       65         0.200000E+00        0.121800E+00            39.09991
       66         0.500000E+01        0.112808E+01            77.43850
       67         0.200000E+01        0.932535E+00            53.37324
       68         0.200000E+00        0.156203E+00            21.89846
       69         0.500000E+01        0.113550E+01            77.28996
       70         0.200000E+01        0.935322E+00            53.23392
       71         0.200000E+00        0.175804E+00            12.09809
       72         0.500000E+01        0.100145E+01            79.97095
       73         0.200000E+01        0.864610E+00            56.76949
       74         0.200000E+00        0.121813E+00            39.09339
       75         0.500000E+01        0.103134E+01            79.37322
       76         0.200000E+01        0.922394E+00            53.88028
       77         0.200000E+00        0.156136E+00            21.93187
       78         0.500000E+01        0.864415E+00            82.71171
       79         0.200000E+01        0.903493E+00            54.82537
       80         0.200000E+00        0.175422E+00            12.28905
       81         0.500000E+01        0.492715E-01            99.01457
       82         0.200000E+01        0.779323E+00            61.03387
       83         0.200000E+00        0.880961E-01            55.95193
       84         0.500000E+01        0.819876E+00            83.60249
       85         0.200000E+01        0.871930E+00            56.40349
       86         0.200000E+00        0.138701E+00            30.64947
       87         0.500000E+01        0.866558E+00            82.66885
       88         0.200000E+01        0.816862E+00            59.15689
       89         0.200000E+00        0.120737E+00            39.63174
       90         0.500000E+01        0.878507E+00            82.42986
       91         0.200000E+01        0.825032E+00            58.74840
       92         0.200000E+00        0.121353E+00            39.32340
       93         0.500000E+01        0.759453E+00            84.81094
       94         0.200000E+01        0.780128E+00            60.99362
       95         0.200000E+00        0.103522E+00            48.23901
       96         0.500000E+01        0.476203E-01            99.04759
       97         0.200000E+01        0.788350E+00            60.58250
       98         0.200000E+00        0.754898E-01            62.25510
       99         0.500000E+01        0.871585E+00            82.56831
      100         0.200000E+01        0.912553E+00            54.37233
      101         0.200000E+00        0.152326E+00            23.83707
      102         0.500000E+01        0.105657E+01            78.86853
      103         0.200000E+01        0.943530E+00            52.82351
      104         0.200000E+00        0.176100E+00            11.94988
      105         0.500000E+01        0.106300E+01            78.73998
      106         0.200000E+01        0.924699E+00            53.76503
      107         0.200000E+00        0.156487E+00            21.75629
      108         0.500000E+01        0.895953E+00            82.08093
      109         0.200000E+01        0.830563E+00            58.47183
      110         0.200000E+00        0.125081E+00            37.45931
      111         0.500000E+01        0.765728E+00            84.68544
      112         0.200000E+01        0.802382E+00            59.88089
      113         0.200000E+00        0.118975E+00            40.51234
      114         0.500000E+01        0.477319E-01            99.04536
      115         0.200000E+01        0.791692E+00            60.41539
      116         0.200000E+00        0.791504E-01            60.42480
      117         0.500000E+01        0.781461E+00            84.37078
      118         0.200000E+01        0.804834E+00            59.75829
      119         0.200000E+00        0.112447E+00            43.77635
      120         0.500000E+01        0.105665E+01            78.86700
      121         0.200000E+01        0.919742E+00            54.01288
      122         0.200000E+00        0.155257E+00            22.37139
      123         0.500000E+01        0.114350E+01            77.12992
      124         0.200000E+01        0.947446E+00            52.62769
      125         0.200000E+00        0.176156E+00            11.92223
      126         0.500000E+01        0.110220E+01            77.95605
      127         0.200000E+01        0.926231E+00            53.68847
      128         0.200000E+00        0.156571E+00            21.71442
      129         0.500000E+01        0.907322E+00            81.85357
      130         0.200000E+01        0.827307E+00            58.63465
      131         0.200000E+00        0.125760E+00            37.12007
      132         0.500000E+01        0.767807E+00            84.64385
      133         0.200000E+01        0.784408E+00            60.77959
      134         0.200000E+00        0.117919E+00            41.04063
      135         0.500000E+01        0.496265E-01            99.00747
      136         0.200000E+01        0.708057E+00            64.59717
      137         0.200000E+00        0.842558E-01            57.87209
      138         0.500000E+01        0.773511E+00            84.52978
      139         0.200000E+01        0.762612E+00            61.86942
      140         0.200000E+00        0.103205E+00            48.39728
      141         0.500000E+01        0.105382E+01            78.92352
      142         0.200000E+01        0.906538E+00            54.67308
      143         0.200000E+00        0.154424E+00            22.78799
      144         0.500000E+01        0.114279E+01            77.14418
      145         0.200000E+01        0.942723E+00            52.86386
      146         0.200000E+00        0.176141E+00            11.92961
      147         0.500000E+01        0.110280E+01            77.94391
      148         0.200000E+01        0.923805E+00            53.80976
      149         0.200000E+00        0.156427E+00            21.78630
      150         0.500000E+01        0.909205E+00            81.81589
      151         0.200000E+01        0.823627E+00            58.81864
      152         0.200000E+00        0.124384E+00            37.80822
      153         0.500000E+01        0.762318E+00            84.75364
      154         0.200000E+01        0.759114E+00            62.04430
      155         0.200000E+00        0.108812E+00            45.59406
      156         0.500000E+01        0.492847E-01            99.01431
      157         0.200000E+01        0.712935E+00            64.35324
      158         0.200000E+00        0.839411E-01            58.02946
      159         0.500000E+01        0.472640E-01            99.05472
      160         0.200000E+01        0.759139E+00            62.04305
      161         0.200000E+00        0.748961E-01            62.55193
      162         0.500000E+01        0.773497E+00            84.53007
      163         0.200000E+01        0.774551E+00            61.27244
      164         0.200000E+00        0.104185E+00            47.90763
      165         0.500000E+01        0.105395E+01            78.92106
      166         0.200000E+01        0.910499E+00            54.47505
      167         0.200000E+00        0.154509E+00            22.74554
      168         0.500000E+01        0.114303E+01            77.13948
      169         0.200000E+01        0.944688E+00            52.76561
      170         0.200000E+00        0.176141E+00            11.92938
      171         0.500000E+01        0.110319E+01            77.93613
      172         0.200000E+01        0.926067E+00            53.69663
      173         0.200000E+00        0.156383E+00            21.80872
      174         0.500000E+01        0.909906E+00            81.80189
      175         0.200000E+01        0.829153E+00            58.54237
      176         0.200000E+00        0.123947E+00            38.02652
      177         0.500000E+01        0.760614E+00            84.78773
      178         0.200000E+01        0.774720E+00            61.26398
      179         0.200000E+00        0.109224E+00            45.38802
      180         0.500000E+01        0.470771E-01            99.05846
      181         0.200000E+01        0.763751E+00            61.81243
      182         0.200000E+00        0.739194E-01            63.04032
      183         0.500000E+01        0.642939E+00            87.14121
      184         0.200000E+01        0.730558E+00            63.47210
      185         0.200000E+00        0.101562E+00            49.21885
      186         0.500000E+01        0.488436E-01            99.02313
      187         0.200000E+01        0.735808E+00            63.20961
      188         0.200000E+00        0.809195E-01            59.54026
      189         0.500000E+01        0.885394E+00            82.29212
      190         0.200000E+01        0.900649E+00            54.96753
      191         0.200000E+00        0.152686E+00            23.65712
      192         0.500000E+01        0.110299E+01            77.94028
      193         0.200000E+01        0.953132E+00            52.34341
      194         0.200000E+00        0.176112E+00            11.94386
      195         0.500000E+01        0.117059E+01            76.58828
      196         0.200000E+01        0.967811E+00            51.60947
      197         0.200000E+00        0.157035E+00            21.48237
      198         0.500000E+01        0.112687E+01            77.46257
      199         0.200000E+01        0.962144E+00            51.89281
