#
#       i          Prior Sigma          Post Sigma       Unc. Red. [%]
#
        1         0.100000E+00        0.100000E+00             0.00000
        2         0.100000E+00        0.100000E+00             0.00000
        3         0.500000E+01        0.212719E+01            57.45620
        4         0.200000E+01        0.124962E+01            37.51895
        5         0.200000E+00        0.187014E+00             6.49278
        6         0.500000E+01        0.196320E+01            60.73591
        7         0.200000E+01        0.109084E+01            45.45813
        8         0.200000E+00        0.160755E+00            19.62273
        9         0.500000E+01        0.184506E+01            63.09880
       10         0.200000E+01        0.102558E+01            48.72086
       11         0.200000E+00        0.160644E+00            19.67777
       12         0.500000E+01        0.176138E+01            64.77244
       13         0.200000E+01        0.100025E+01            49.98760
       14         0.200000E+00        0.176246E+00            11.87704
       15         0.500000E+01        0.170294E+01            65.94111
       16         0.200000E+01        0.990668E+00            50.46661
       17         0.200000E+00        0.158937E+00            20.53130
       18         0.500000E+01        0.166260E+01            66.74803
       19         0.200000E+01        0.987084E+00            50.64581
       20         0.200000E+00        0.147036E+00            26.48191
       21         0.500000E+01        0.163498E+01            67.30043
       22         0.200000E+01        0.985749E+00            50.71257
       23         0.200000E+00        0.147019E+00            26.49039
       24         0.500000E+01        0.161619E+01            67.67626
       25         0.200000E+01        0.985252E+00            50.73740
       26         0.200000E+00        0.158754E+00            20.62313
       27         0.500000E+01        0.160346E+01            67.93081
       28         0.200000E+01        0.985067E+00            50.74663
       29         0.200000E+00        0.158740E+00            20.62994
       30         0.500000E+01        0.159486E+01            68.10270
       31         0.200000E+01        0.984999E+00            50.75006
       32         0.200000E+00        0.146904E+00            26.54812
       33         0.500000E+01        0.158907E+01            68.21852
       34         0.200000E+01        0.984973E+00            50.75134
       35         0.200000E+00        0.145847E+00            27.07661
       36         0.500000E+01        0.158518E+01            68.29644
       37         0.200000E+01        0.984964E+00            50.75181
       38         0.200000E+00        0.146904E+00            26.54813
       39         0.500000E+01        0.158256E+01            68.34881
       40         0.200000E+01        0.984960E+00            50.75199
       41         0.200000E+00        0.158740E+00            20.63002
       42         0.500000E+01        0.158080E+01            68.38399
       43         0.200000E+01        0.984959E+00            50.75206
       44         0.200000E+00        0.158739E+00            20.63065
       45         0.500000E+01        0.157962E+01            68.40761
       46         0.200000E+01        0.984958E+00            50.75208
       47         0.200000E+00        0.146893E+00            26.55349
       48         0.500000E+01        0.157883E+01            68.42347
       49         0.200000E+01        0.984958E+00            50.75209
       50         0.200000E+00        0.145736E+00            27.13209
       51         0.500000E+01        0.157829E+01            68.43411
       52         0.200000E+01        0.984958E+00            50.75209
       53         0.200000E+00        0.145736E+00            27.13208
       54         0.500000E+01        0.157794E+01            68.44124
       55         0.200000E+01        0.984958E+00            50.75209
       56         0.200000E+00        0.146893E+00            26.55341
       57         0.500000E+01        0.157770E+01            68.44603
       58         0.200000E+01        0.984958E+00            50.75209
       59         0.200000E+00        0.158740E+00            20.62985
       60         0.500000E+01        0.157754E+01            68.44924
       61         0.200000E+01        0.984958E+00            50.75209
       62         0.200000E+00        0.158899E+00            20.55037
       63         0.500000E+01        0.157743E+01            68.45140
       64         0.200000E+01        0.984958E+00            50.75209
       65         0.200000E+00        0.148236E+00            25.88204
       66         0.500000E+01        0.157736E+01            68.45284
       67         0.200000E+01        0.984958E+00            50.75209
       68         0.200000E+00        0.159081E+00            20.45933
       69         0.500000E+01        0.157731E+01            68.45381
       70         0.200000E+01        0.984958E+00            50.75209
       71         0.200000E+00        0.176248E+00            11.87618
       72         0.500000E+01        0.157728E+01            68.45446
       73         0.200000E+01        0.984958E+00            50.75209
       74         0.200000E+00        0.160628E+00            19.68593
       75         0.500000E+01        0.157725E+01            68.45490
       76         0.200000E+01        0.984958E+00            50.75209
       77         0.200000E+00        0.160628E+00            19.68593
       78         0.500000E+01        0.157724E+01            68.45519
       79         0.200000E+01        0.984958E+00            50.75209
       80         0.200000E+00        0.176248E+00            11.87616
       81         0.500000E+01        0.157723E+01            68.45539
       82         0.200000E+01        0.984958E+00            50.75209
       83         0.200000E+00        0.159084E+00            20.45817
       84         0.500000E+01        0.157722E+01            68.45552
       85         0.200000E+01        0.984958E+00            50.75209
       86         0.200000E+00        0.148255E+00            25.87242
       87         0.500000E+01        0.157722E+01            68.45561
       88         0.200000E+01        0.984958E+00            50.75209
       89         0.200000E+00        0.159083E+00            20.45829
       90         0.500000E+01        0.157722E+01            68.45566
       91         0.200000E+01        0.984958E+00            50.75209
       92         0.200000E+00        0.176227E+00            11.88671
       93         0.500000E+01        0.157721E+01            68.45570
       94         0.200000E+01        0.984958E+00            50.75209
       95         0.200000E+00        0.159083E+00            20.45829
       96         0.500000E+01        0.157721E+01            68.45572
       97         0.200000E+01        0.984958E+00            50.75209
       98         0.200000E+00        0.148255E+00            25.87242
       99         0.500000E+01        0.157721E+01            68.45574
      100         0.200000E+01        0.984958E+00            50.75209
      101         0.200000E+00        0.159084E+00            20.45817
      102         0.500000E+01        0.157721E+01            68.45574
      103         0.200000E+01        0.984958E+00            50.75209
      104         0.200000E+00        0.176248E+00            11.87616
      105         0.500000E+01        0.157721E+01            68.45574
      106         0.200000E+01        0.984958E+00            50.75209
      107         0.200000E+00        0.160629E+00            19.68574
      108         0.500000E+01        0.157721E+01            68.45572
      109         0.200000E+01        0.984958E+00            50.75209
      110         0.200000E+00        0.160631E+00            19.68450
      111         0.500000E+01        0.157721E+01            68.45570
      112         0.200000E+01        0.984958E+00            50.75209
      113         0.200000E+00        0.176497E+00            11.75140
      114         0.500000E+01        0.157722E+01            68.45566
      115         0.200000E+01        0.984958E+00            50.75209
      116         0.200000E+00        0.176497E+00            11.75140
      117         0.500000E+01        0.157722E+01            68.45561
      118         0.200000E+01        0.984958E+00            50.75209
      119         0.200000E+00        0.160631E+00            19.68449
      120         0.500000E+01        0.157722E+01            68.45552
      121         0.200000E+01        0.984958E+00            50.75209
      122         0.200000E+00        0.160629E+00            19.68562
      123         0.500000E+01        0.157723E+01            68.45539
      124         0.200000E+01        0.984958E+00            50.75209
      125         0.200000E+00        0.176269E+00            11.86561
      126         0.500000E+01        0.157724E+01            68.45519
      127         0.200000E+01        0.984958E+00            50.75209
      128         0.200000E+00        0.160628E+00            19.68581
      129         0.500000E+01        0.157725E+01            68.45490
      130         0.200000E+01        0.984958E+00            50.75209
      131         0.200000E+00        0.160628E+00            19.68591
      132         0.500000E+01        0.157728E+01            68.45446
      133         0.200000E+01        0.984958E+00            50.75209
      134         0.200000E+00        0.176248E+00            11.87616
      135         0.500000E+01        0.157731E+01            68.45381
      136         0.200000E+01        0.984958E+00            50.75209
      137         0.200000E+00        0.159084E+00            20.45817
      138         0.500000E+01        0.157736E+01            68.45284
      139         0.200000E+01        0.984958E+00            50.75209
      140         0.200000E+00        0.148255E+00            25.87241
      141         0.500000E+01        0.157743E+01            68.45140
      142         0.200000E+01        0.984958E+00            50.75209
      143         0.200000E+00        0.159084E+00            20.45817
      144         0.500000E+01        0.157754E+01            68.44924
      145         0.200000E+01        0.984958E+00            50.75209
      146         0.200000E+00        0.176247E+00            11.87631
      147         0.500000E+01        0.157770E+01            68.44603
      148         0.200000E+01        0.984958E+00            50.75209
      149         0.200000E+00        0.160606E+00            19.69705
      150         0.500000E+01        0.157794E+01            68.44124
      151         0.200000E+01        0.984958E+00            50.75209
      152         0.200000E+00        0.160456E+00            19.77205
      153         0.500000E+01        0.157829E+01            68.43411
      154         0.200000E+01        0.984958E+00            50.75209
      155         0.200000E+00        0.160432E+00            19.78402
      156         0.500000E+01        0.157883E+01            68.42347
      157         0.200000E+01        0.984958E+00            50.75209
      158         0.200000E+00        0.160418E+00            19.79095
      159         0.500000E+01        0.157962E+01            68.40761
      160         0.200000E+01        0.984958E+00            50.75208
      161         0.200000E+00        0.158916E+00            20.54194
      162         0.500000E+01        0.158080E+01            68.38399
      163         0.200000E+01        0.984959E+00            50.75206
      164         0.200000E+00        0.148238E+00            25.88116
      165         0.500000E+01        0.158256E+01            68.34881
      166         0.200000E+01        0.984960E+00            50.75199
      167         0.200000E+00        0.159082E+00            20.45923
      168         0.500000E+01        0.158518E+01            68.29644
      169         0.200000E+01        0.984964E+00            50.75181
      170         0.200000E+00        0.176247E+00            11.87633
      171         0.500000E+01        0.158907E+01            68.21852
      172         0.200000E+01        0.984973E+00            50.75134
      173         0.200000E+00        0.160606E+00            19.69705
      174         0.500000E+01        0.159486E+01            68.10270
      175         0.200000E+01        0.984999E+00            50.75006
      176         0.200000E+00        0.160456E+00            19.77205
      177         0.500000E+01        0.160346E+01            67.93081
      178         0.200000E+01        0.985067E+00            50.74663
      179         0.200000E+00        0.160432E+00            19.78402
      180         0.500000E+01        0.161619E+01            67.67626
      181         0.200000E+01        0.985252E+00            50.73740
      182         0.200000E+00        0.160418E+00            19.79095
      183         0.500000E+01        0.163498E+01            67.30043
      184         0.200000E+01        0.985749E+00            50.71257
      185         0.200000E+00        0.158916E+00            20.54194
      186         0.500000E+01        0.166260E+01            66.74803
      187         0.200000E+01        0.987084E+00            50.64581
      188         0.200000E+00        0.148238E+00            25.88116
      189         0.500000E+01        0.170294E+01            65.94111
      190         0.200000E+01        0.990668E+00            50.46661
      191         0.200000E+00        0.159082E+00            20.45922
      192         0.500000E+01        0.176138E+01            64.77244
      193         0.200000E+01        0.100025E+01            49.98760
      194         0.200000E+00        0.176248E+00            11.87606
      195         0.500000E+01        0.184506E+01            63.09880
      196         0.200000E+01        0.102558E+01            48.72086
      197         0.200000E+00        0.160644E+00            19.67776
      198         0.500000E+01        0.196320E+01            60.73591
      199         0.200000E+01        0.109084E+01            45.45813
      200         0.200000E+00        0.160755E+00            19.62272
      201         0.500000E+01        0.212719E+01            57.45620
      202         0.200000E+01        0.124962E+01            37.51895
      203         0.200000E+00        0.187014E+00             6.49278
