#
#       i          Prior Sigma          Post Sigma       Unc. Red. [%]
#
        1         0.100000E+00        0.100000E+00             0.00000
        2         0.100000E+00        0.100000E+00             0.00000
        3         0.500000E+01        0.212501E+01            57.49972
        4         0.200000E+01        0.124962E+01            37.51895
        5         0.200000E+00        0.187014E+00             6.49278
        6         0.500000E+01        0.196065E+01            60.78692
        7         0.200000E+01        0.109084E+01            45.45813
        8         0.200000E+00        0.160755E+00            19.62273
        9         0.500000E+01        0.184190E+01            63.16195
       10         0.200000E+01        0.102558E+01            48.72087
       11         0.200000E+00        0.160644E+00            19.67777
       12         0.500000E+01        0.175728E+01            64.85437
       13         0.200000E+01        0.100025E+01            49.98761
       14         0.200000E+00        0.176246E+00            11.87704
       15         0.500000E+01        0.169742E+01            66.05155
       16         0.200000E+01        0.990667E+00            50.46663
       17         0.200000E+00        0.158937E+00            20.53130
       18         0.500000E+01        0.165493E+01            66.90135
       19         0.200000E+01        0.987083E+00            50.64587
       20         0.200000E+00        0.147036E+00            26.48191
       21         0.500000E+01        0.162410E+01            67.51804
       22         0.200000E+01        0.985745E+00            50.71273
       23         0.200000E+00        0.147019E+00            26.49039
       24         0.500000E+01        0.160050E+01            67.99009
       25         0.200000E+01        0.985244E+00            50.73782
       26         0.200000E+00        0.158754E+00            20.62313
       27         0.500000E+01        0.158056E+01            68.38877
       28         0.200000E+01        0.985045E+00            50.74777
       29         0.200000E+00        0.158740E+00            20.62994
       30         0.500000E+01        0.156116E+01            68.77685
       31         0.200000E+01        0.984937E+00            50.75313
       32         0.200000E+00        0.146904E+00            26.54812
       33         0.500000E+01        0.153911E+01            69.21785
       34         0.200000E+01        0.984808E+00            50.75958
       35         0.200000E+00        0.145847E+00            27.07661
       36         0.500000E+01        0.151064E+01            69.78715
       37         0.200000E+01        0.984520E+00            50.77398
       38         0.200000E+00        0.146904E+00            26.54813
       39         0.500000E+01        0.147063E+01            70.58740
       40         0.200000E+01        0.983767E+00            50.81167
       41         0.200000E+00        0.158740E+00            20.63004
       42         0.500000E+01        0.141128E+01            71.77439
       43         0.200000E+01        0.981744E+00            50.91281
       44         0.200000E+00        0.158734E+00            20.63317
       45         0.500000E+01        0.131957E+01            73.60851
       46         0.200000E+01        0.976283E+00            51.18584
       47         0.200000E+00        0.146851E+00            26.57466
       48         0.500000E+01        0.117089E+01            76.58225
       49         0.200000E+01        0.961436E+00            51.92819
       50         0.200000E+00        0.145297E+00            27.35143
       51         0.500000E+01        0.906076E+00            81.87849
       52         0.200000E+01        0.920297E+00            53.98517
       53         0.200000E+00        0.141032E+00            29.48382
       54         0.500000E+01        0.488164E-01            99.02367
       55         0.200000E+01        0.799147E+00            60.04265
       56         0.200000E+00        0.853718E-01            57.31408
       57         0.500000E+01        0.899559E+00            82.00882
       58         0.200000E+01        0.920250E+00            53.98752
       59         0.200000E+00        0.152838E+00            23.58094
       60         0.500000E+01        0.114984E+01            77.00328
       61         0.200000E+01        0.961281E+00            51.93596
       62         0.200000E+00        0.158841E+00            20.57930
       63         0.500000E+01        0.127437E+01            74.51258
       64         0.200000E+01        0.975842E+00            51.20792
       65         0.200000E+00        0.148230E+00            25.88507
       66         0.500000E+01        0.132804E+01            73.43923
       67         0.200000E+01        0.980534E+00            50.97330
       68         0.200000E+00        0.159081E+00            20.45970
       69         0.500000E+01        0.132804E+01            73.43920
       70         0.200000E+01        0.980487E+00            50.97567
       71         0.200000E+00        0.176248E+00            11.87619
       72         0.500000E+01        0.127437E+01            74.51250
       73         0.200000E+01        0.975648E+00            51.21758
       74         0.200000E+00        0.160627E+00            19.68647
       75         0.500000E+01        0.114984E+01            77.00311
       76         0.200000E+01        0.960728E+00            51.96360
       77         0.200000E+00        0.160620E+00            19.69014
       78         0.500000E+01        0.899576E+00            82.00849
       79         0.200000E+01        0.918685E+00            54.06574
       80         0.200000E+00        0.175506E+00            12.24700
       81         0.500000E+01        0.492890E-01            99.01422
       82         0.200000E+01        0.794285E+00            60.28576
       83         0.200000E+00        0.893701E-01            55.31494
       84         0.500000E+01        0.870229E+00            82.59542
       85         0.200000E+01        0.916863E+00            54.15685
       86         0.200000E+00        0.142448E+00            28.77593
       87         0.500000E+01        0.105190E+01            78.96191
       88         0.200000E+01        0.954684E+00            52.26579
       89         0.200000E+00        0.158396E+00            20.80199
       90         0.500000E+01        0.105189E+01            78.96217
       91         0.200000E+01        0.958357E+00            52.08216
       92         0.200000E+00        0.176132E+00            11.93413
       93         0.500000E+01        0.870179E+00            82.59641
       94         0.200000E+01        0.932299E+00            53.38505
       95         0.200000E+00        0.152601E+00            23.69952
       96         0.500000E+01        0.476505E-01            99.04699
       97         0.200000E+01        0.843373E+00            57.83137
       98         0.200000E+00        0.796405E-01            60.17977
       99         0.500000E+01        0.883255E+00            82.33491
      100         0.200000E+01        0.934213E+00            53.28936
      101         0.200000E+00        0.152601E+00            23.69970
      102         0.500000E+01        0.109621E+01            78.07578
      103         0.200000E+01        0.964579E+00            51.77103
      104         0.200000E+00        0.176161E+00            11.91934
      105         0.500000E+01        0.115543E+01            76.89147
      106         0.200000E+01        0.972378E+00            51.38108
      107         0.200000E+00        0.160626E+00            19.68699
      108         0.500000E+01        0.109621E+01            78.07575
      109         0.200000E+01        0.966501E+00            51.67496
      110         0.200000E+00        0.160619E+00            19.69044
      111         0.500000E+01        0.883259E+00            82.33481
      112         0.200000E+01        0.940275E+00            52.98624
      113         0.200000E+00        0.175463E+00            12.26859
      114         0.500000E+01        0.477988E-01            99.04402
      115         0.200000E+01        0.861608E+00            56.91960
      116         0.200000E+00        0.835487E-01            58.22565
      117         0.500000E+01        0.891241E+00            82.17519
      118         0.200000E+01        0.940626E+00            52.96872
      119         0.200000E+00        0.159848E+00            20.07617
      120         0.500000E+01        0.112272E+01            77.54567
      121         0.200000E+01        0.967629E+00            51.61857
      122         0.200000E+00        0.160528E+00            19.73613
      123         0.500000E+01        0.121498E+01            75.70048
      124         0.200000E+01        0.975553E+00            51.22235
      125         0.200000E+00        0.176267E+00            11.86631
      126         0.500000E+01        0.121498E+01            75.70032
      127         0.200000E+01        0.973310E+00            51.33449
      128         0.200000E+00        0.160627E+00            19.68635
      129         0.500000E+01        0.112274E+01            77.54511
      130         0.200000E+01        0.958410E+00            52.07952
      131         0.200000E+00        0.160620E+00            19.69005
      132         0.500000E+01        0.891305E+00            82.17389
      133         0.200000E+01        0.913657E+00            54.31714
      134         0.200000E+00        0.175520E+00            12.24012
      135         0.500000E+01        0.497184E-01            99.00563
      136         0.200000E+01        0.779088E+00            61.04561
      137         0.200000E+00        0.911446E-01            54.42770
      138         0.500000E+01        0.891306E+00            82.17387
      139         0.200000E+01        0.913507E+00            54.32464
      140         0.200000E+00        0.142557E+00            28.72140
      141         0.500000E+01        0.112275E+01            77.54505
      142         0.200000E+01        0.957910E+00            52.10448
      143         0.200000E+00        0.158409E+00            20.79539
      144         0.500000E+01        0.121499E+01            75.70018
      145         0.200000E+01        0.971884E+00            51.40580
      146         0.200000E+00        0.176238E+00            11.88095
      147         0.500000E+01        0.121499E+01            75.70021
      148         0.200000E+01        0.971620E+00            51.41899
      149         0.200000E+00        0.160596E+00            19.70187
      150         0.500000E+01        0.112274E+01            77.54516
      151         0.200000E+01        0.956823E+00            52.15886
      152         0.200000E+00        0.160382E+00            19.80901
      153         0.500000E+01        0.891294E+00            82.17412
      154         0.200000E+01        0.910291E+00            54.48543
      155         0.200000E+00        0.153150E+00            23.42482
      156         0.500000E+01        0.493578E-01            99.01284
      157         0.200000E+01        0.768829E+00            61.55854
      158         0.200000E+00        0.894306E-01            55.28468
      159         0.500000E+01        0.473049E-01            99.05390
      160         0.200000E+01        0.816427E+00            59.17865
      161         0.200000E+00        0.789198E-01            60.54011
      162         0.500000E+01        0.891222E+00            82.17555
      163         0.200000E+01        0.925664E+00            53.71681
      164         0.200000E+00        0.141845E+00            29.07767
      165         0.500000E+01        0.112270E+01            77.54594
      166         0.200000E+01        0.962612E+00            51.86938
      167         0.200000E+00        0.158327E+00            20.83673
      168         0.500000E+01        0.121496E+01            75.70080
      169         0.200000E+01        0.974674E+00            51.26628
      170         0.200000E+00        0.176237E+00            11.88151
      171         0.500000E+01        0.121496E+01            75.70081
      172         0.200000E+01        0.975594E+00            51.22030
      173         0.200000E+00        0.160595E+00            19.70233
      174         0.500000E+01        0.112270E+01            77.54598
      175         0.200000E+01        0.966390E+00            51.68051
      176         0.200000E+00        0.160375E+00            19.81252
      177         0.500000E+01        0.891217E+00            82.17566
      178         0.200000E+01        0.936683E+00            53.16584
      179         0.200000E+00        0.152442E+00            23.77901
      180         0.500000E+01        0.471384E-01            99.05723
      181         0.200000E+01        0.849773E+00            57.51135
      182         0.200000E+00        0.794756E-01            60.26221
      183         0.500000E+01        0.700945E+00            85.98110
      184         0.200000E+01        0.885550E+00            55.72250
      185         0.200000E+00        0.152549E+00            23.72557
      186         0.500000E+01        0.489018E-01            99.02196
      187         0.200000E+01        0.789235E+00            60.53824
      188         0.200000E+00        0.858733E-01            57.06337
      189         0.500000E+01        0.927900E+00            81.44199
      190         0.200000E+01        0.921363E+00            53.93184
      191         0.200000E+00        0.153037E+00            23.48162
      192         0.500000E+01        0.123982E+01            75.20369
      193         0.200000E+01        0.974330E+00            51.28352
      194         0.200000E+00        0.176167E+00            11.91638
      195         0.500000E+01        0.146290E+01            70.74194
      196         0.200000E+01        0.101528E+01            49.23585
      197         0.200000E+00        0.160644E+00            19.67822
      198         0.500000E+01        0.166351E+01            66.72981
      199         0.200000E+01        0.108625E+01            45.68774
      200         0.200000E+00        0.160754E+00            19.62278
      201         0.500000E+01        0.187617E+01            62.47652
      202         0.200000E+01        0.124706E+01            37.64709
      203         0.200000E+00        0.187014E+00             6.49278
